Pfam_code,HMMER_conservation,SEED_conservation,HMMER_vs_SEED_conservation_diff,HMMER_vs_SEED_conservation_%_improvement
PF15227,1.00,1.00,0.00,0.00
PF15231,1.00,1.00,0.00,0.00
PF15255,1.00,1.00,0.00,0.00
PF15268,1.00,1.00,0.00,0.00
PF15274,1.00,1.00,0.00,0.00
PF15288,1.00,1.00,0.00,0.00
PF15291,1.00,1.00,0.00,0.00
PF15292,1.00,1.00,0.00,0.00
PF15314,1.00,1.00,0.00,0.00
PF15315,1.00,1.00,0.00,0.00
PF15319,1.00,1.00,0.00,0.00
PF15324,1.00,1.00,0.00,0.00
PF15334,1.00,1.00,0.00,0.00
PF15338,1.00,1.00,0.00,0.00
PF15339,1.00,1.00,0.00,0.00
PF15347,1.00,1.00,0.00,0.00
PF15351,1.00,1.00,0.00,0.00
PF15352,1.00,1.00,0.00,0.00
PF15357,1.00,1.00,0.00,0.00
PF15371,1.00,1.00,0.00,0.00
PF15372,1.00,1.00,0.00,0.00
PF15379,1.00,1.00,0.00,0.00
PF15384,1.00,1.00,0.00,0.00
PF15390,1.00,1.00,0.00,0.00
PF15391,1.00,1.00,0.00,0.00
PF15393,1.00,1.00,0.00,0.00
PF15395,1.00,1.00,0.00,0.00
PF15399,1.00,1.00,0.00,0.00
PF15412,1.00,1.00,0.00,0.00
PF15419,1.00,1.00,0.00,0.00
PF15423,1.00,1.00,0.00,0.00
PF15429,1.00,1.00,0.00,0.00
PF15439,1.00,1.00,0.00,0.00
PF15440,1.00,1.00,0.00,0.00
PF15441,1.00,1.00,0.00,0.00
PF15455,1.00,1.00,0.00,0.00
PF15462,1.00,1.00,0.00,0.00
PF15471,1.00,1.00,0.00,0.00
PF15482,1.00,1.00,0.00,0.00
PF15483,1.00,1.00,0.00,0.00
PF15485,1.00,1.00,0.00,0.00
PF15489,1.00,1.00,0.00,0.00
PF15506,1.00,1.00,0.00,0.00
PF15508,1.00,1.00,0.00,0.00
PF15539,1.00,1.00,0.00,0.00
PF15554,1.00,1.00,0.00,0.00
PF15557,1.00,1.00,0.00,0.00
PF15578,1.00,1.00,0.00,0.00
PF15621,1.00,1.00,0.00,0.00
PF15622,1.00,1.00,0.00,0.00
PF15664,1.00,1.00,0.00,0.00
PF15670,1.00,1.00,0.00,0.00
PF15681,1.00,1.00,0.00,0.00
PF15687,1.00,1.00,0.00,0.00
PF15688,1.00,1.00,0.00,0.00
PF15695,0.90,0.90,0.00,0.00
PF15710,1.00,1.00,0.00,0.00
PF15721,1.00,1.00,0.00,0.00
PF15727,1.00,1.00,0.00,0.00
PF15729,1.00,1.00,0.00,0.00
PF15741,1.00,1.00,0.00,0.00
PF15746,1.00,1.00,0.00,0.00
PF15754,1.00,1.00,0.00,0.00
PF15758,1.00,1.00,0.00,0.00
PF15769,1.00,1.00,0.00,0.00
PF15776,1.00,1.00,0.00,0.00
PF15783,0.35,1.00,-0.65,-65.00
PF15788,0.48,0.72,-0.24,-33.33
PF15789,1.00,1.00,0.00,0.00
PF15790,1.00,1.00,0.00,0.00
PF15807,1.00,1.00,0.00,0.00
PF15816,1.00,1.00,0.00,0.00
PF15817,1.00,1.00,0.00,0.00
PF15821,1.00,1.00,0.00,0.00
PF15830,1.00,1.00,0.00,0.00
PF15838,1.00,1.00,0.00,0.00
PF15841,1.00,1.00,0.00,0.00
PF15843,1.00,1.00,0.00,0.00
PF15845,1.00,1.00,0.00,0.00
PF15847,1.00,1.00,0.00,0.00
PF15849,1.00,1.00,0.00,0.00
PF15855,1.00,1.00,0.00,0.00
PF15873,1.00,1.00,0.00,0.00
PF15874,0.64,0.62,0.02,3.23
PF15875,1.00,1.00,0.00,0.00
PF15876,1.00,1.00,0.00,0.00
PF15895,1.00,1.00,0.00,0.00
PF15897,1.00,1.00,0.00,0.00
PF15902,1.00,1.00,0.00,0.00
PF15903,1.00,1.00,0.00,0.00
PF15908,1.00,1.00,0.00,0.00
PF15909,1.00,1.00,0.00,0.00
PF15910,1.00,1.00,0.00,0.00
PF15913,1.00,1.00,0.00,0.00
PF15961,1.00,1.00,0.00,0.00
PF15964,1.00,1.00,0.00,0.00
PF15974,1.00,1.00,0.00,0.00
PF16006,1.00,1.00,0.00,0.00
PF16076,1.00,1.00,0.00,0.00
PF16094,1.00,1.00,0.00,0.00
PF16177,1.00,1.00,0.00,0.00
PF16182,0.50,1.00,-0.50,-50.00
PF16207,1.00,1.00,0.00,0.00
PF16208,1.00,1.00,0.00,0.00
PF16210,1.00,1.00,0.00,0.00
PF16214,1.00,1.00,0.00,0.00
PF16317,1.00,1.00,0.00,0.00
PF16360,1.00,1.00,0.00,0.00
PF16474,1.00,1.00,0.00,0.00
PF16482,1.00,1.00,0.00,0.00
PF16489,1.00,1.00,0.00,0.00
PF16492,0.85,0.86,-0.01,-1.16
PF16499,1.00,1.00,0.00,0.00
PF16619,1.00,1.00,0.00,0.00
PF16620,1.00,1.00,0.00,0.00
PF16630,1.00,1.00,0.00,0.00
PF16647,1.00,1.00,0.00,0.00
PF16652,1.00,1.00,0.00,0.00
PF16696,1.00,1.00,0.00,0.00
PF16716,1.00,1.00,0.00,0.00
PF16746,1.00,1.00,0.00,0.00
PF16788,1.00,1.00,0.00,0.00
PF17039,0.87,0.87,0.00,0.00
PF17047,1.00,1.00,0.00,0.00
PF17085,1.00,1.00,0.00,0.00
PF17146,1.00,1.00,0.00,0.00
PF17256,1.00,1.00,0.00,0.00
PF17284,0.63,0.63,0.00,0.00
PF17285,1.00,1.00,0.00,0.00
PF17286,1.00,1.00,0.00,0.00
PF17291,0.80,0.81,-0.01,-1.23
PF17333,1.00,1.00,0.00,0.00
PF17450,1.00,1.00,0.00,0.00
PF17489,1.00,1.00,0.00,0.00
PF17490,1.00,1.00,0.00,0.00
PF17677,1.00,1.00,0.00,0.00
PF17686,1.00,1.00,0.00,0.00
PF17690,1.00,1.00,0.00,0.00
PF17698,1.00,1.00,0.00,0.00
PF17699,1.00,1.00,0.00,0.00
PF17703,1.00,1.00,0.00,0.00
PF17706,1.00,1.00,0.00,0.00
PF17708,0.51,0.51,0.00,0.00
PF17710,1.00,1.00,0.00,0.00
PF17714,1.00,1.00,0.00,0.00
PF17729,1.00,1.00,0.00,0.00
PF17739,1.00,1.00,0.00,0.00
PF17744,1.00,1.00,0.00,0.00
PF17749,1.00,1.00,0.00,0.00
PF17776,1.00,1.00,0.00,0.00
PF17779,1.00,1.00,0.00,0.00
PF17780,1.00,1.00,0.00,0.00
PF17790,1.00,1.00,0.00,0.00
PF17791,1.00,1.00,0.00,0.00
PF17821,1.00,1.00,0.00,0.00
PF17825,1.00,1.00,0.00,0.00
PF17848,1.00,1.00,0.00,0.00
PF17857,0.78,0.78,0.00,0.00
PF17862,1.00,1.00,0.00,0.00
PF17900,0.60,0.59,0.01,1.69
PF17927,1.00,1.00,0.00,0.00
PF17949,1.00,1.00,0.00,0.00
PF18111,1.00,1.00,0.00,0.00
PF18114,1.00,1.00,0.00,0.00
PF18122,1.00,1.00,0.00,0.00
PF18139,1.00,1.00,0.00,0.00
PF18201,1.00,1.00,0.00,0.00
PF18256,1.00,1.00,0.00,0.00
PF18366,0.84,0.83,0.01,1.20
PF18727,0.69,0.68,0.01,1.47
PF18872,0.92,1.00,-0.08,-8.00
PF18875,1.00,1.00,0.00,0.00
PF18876,1.00,1.00,0.00,0.00
PF19031,0.45,0.44,0.01,2.27
PF19032,0.56,0.55,0.01,1.82
PF19033,0.45,0.41,0.04,9.76
PF19036,0.57,0.56,0.01,1.79
PF19037,0.58,0.54,0.04,7.41
PF19038,0.56,0.53,0.03,5.66
PF19046,1.00,1.00,0.00,0.00
PF19047,1.00,1.00,0.00,0.00
PF19088,1.00,1.00,0.00,0.00
PF19236,1.00,1.00,0.00,0.00
PF19273,1.00,1.00,0.00,0.00
PF19317,1.00,1.00,0.00,0.00
PF19326,0.78,0.78,0.00,0.00
PF19336,1.00,1.00,0.00,0.00
PF19729,1.00,1.00,0.00,0.00
PF19743,1.00,1.00,0.00,0.00
PF20166,0.56,0.54,0.02,3.70
PF20168,1.00,1.00,0.00,0.00
PF20258,1.00,1.00,0.00,0.00
PF20259,1.00,1.00,0.00,0.00
PF20266,0.61,0.60,0.01,1.67
PF20433,1.00,1.00,0.00,0.00
PF20443,0.55,0.55,0.00,0.00
PF20491,1.00,1.00,0.00,0.00
PF20510,1.00,1.00,0.00,0.00
PF20511,1.00,1.00,0.00,0.00
PF20512,1.00,1.00,0.00,0.00
PF20514,1.00,1.00,0.00,0.00
PF20518,1.00,1.00,0.00,0.00
PF20519,1.00,1.00,0.00,0.00
PF20626,1.00,1.00,0.00,0.00
PF20634,1.00,1.00,0.00,0.00
PF20665,1.00,1.00,0.00,0.00
PF20666,1.00,1.00,0.00,0.00
PF20691,0.84,0.84,0.00,0.00
PF20692,1.00,1.00,0.00,0.00
PF20721,1.00,1.00,0.00,0.00
PF20770,1.00,1.00,0.00,0.00
PF20801,1.00,1.00,0.00,0.00
PF20805,0.54,0.52,0.02,3.85
PF20806,0.48,0.48,0.00,0.00
PF20808,1.00,1.00,0.00,0.00
PF20826,1.00,1.00,0.00,0.00
PF20854,1.00,1.00,0.00,0.00
PF20864,1.00,1.00,0.00,0.00
PF20885,1.00,1.00,0.00,0.00
PF20927,1.00,1.00,0.00,0.00
PF20936,1.00,1.00,0.00,0.00
PF20989,1.00,1.00,0.00,0.00
PF20996,1.00,1.00,0.00,0.00
PF21009,0.53,1.00,-0.47,-47.00
PF21031,1.00,1.00,0.00,0.00
PF21032,1.00,1.00,0.00,0.00
PF21033,1.00,1.00,0.00,0.00
PF21034,1.00,1.00,0.00,0.00
PF21044,1.00,1.00,0.00,0.00
PF21045,1.00,1.00,0.00,0.00
PF21317,1.00,1.00,0.00,0.00
PF21363,1.00,1.00,0.00,0.00
PF21365,0.84,1.00,-0.16,-16.00
PF21399,1.00,1.00,0.00,0.00
PF21530,1.00,1.00,0.00,0.00
PF21711,1.00,1.00,0.00,0.00
PF21771,1.00,1.00,0.00,0.00
