Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,SEED_conservation,SEED_blosum,SEED_gaps
PF09457,0.61,1.48,0.00,0.57,1.48,0.10
PF09469,0.76,2.73,0.00,0.76,2.73,0.00
PF09514,1.00,,0.00,1.00,,0.00
PF09532,1.00,,0.00,1.00,,0.00
PF09727,1.00,,0.00,1.00,,0.00
PF09766,1.00,,0.00,1.00,,0.00
PF09772,1.00,,0.00,1.00,,0.00
PF09787,1.00,,0.00,1.00,,0.00
PF09809,1.00,,0.00,1.00,,0.00
PF09811,0.64,1.33,0.00,0.64,1.33,0.00
PF09812,1.00,,0.00,1.00,,0.00
PF09815,1.00,,0.00,1.00,,0.00
PF10034,0.62,0.99,0.03,0.61,1.01,0.06
PF10151,1.00,,0.00,1.00,,0.00
PF10184,1.00,,0.00,1.00,,0.00
PF10186,1.00,,0.00,1.00,,0.00
PF10192,1.00,,0.00,1.00,,0.00
PF10226,1.00,,0.00,1.00,,0.00
PF10242,1.00,,0.00,1.00,,0.00
PF10243,1.00,,0.00,1.00,,0.00
PF10257,1.00,,0.00,1.00,,0.00
PF10262,1.00,,0.00,1.00,,0.00
PF10263,1.00,,0.00,1.00,,0.00
PF10265,1.00,,0.00,1.00,,0.00
PF10277,1.00,,0.00,1.00,,0.00
PF10278,1.00,,0.00,1.00,,0.00
PF10300,1.00,,0.00,1.00,,0.00
PF10344,1.00,,0.00,1.00,,0.00
PF10367,1.00,,0.00,1.00,,0.00
PF10376,1.00,,0.00,1.00,,0.00
PF10392,1.00,,0.00,1.00,,0.00
PF10401,0.64,1.1,0.02,0.63,1.09,0.05
PF10409,0.87,4.13,0.02,0.87,4.11,0.02
PF10420,1.00,,0.00,1.00,,0.00
PF10427,0.61,2.25,0.10,0.60,2.22,0.11
PF10472,1.00,,0.00,1.00,,0.00
PF10488,1.00,,0.00,1.00,,0.00
PF10500,1.00,,0.00,1.00,,0.00
PF10508,1.00,,0.00,1.00,,0.00
PF10565,1.00,,0.00,1.00,,0.00
PF10591,1.00,,0.00,1.00,,0.00
PF10607,0.37,0.68,0.31,0.41,0.6,0.38
PF10609,1.00,,0.00,1.00,,0.00
PF10630,1.00,,0.00,1.00,,0.00
PF10631,1.00,,0.00,1.00,,0.00
PF11109,1.00,,0.00,1.00,,0.00
PF11235,1.00,,0.00,1.00,,0.00
PF11465,1.00,,0.00,1.00,,0.00
PF11510,1.00,,0.00,1.00,,0.00
PF11526,1.00,,0.00,1.00,,0.00
PF11560,1.00,,0.00,1.00,,0.00
PF11598,0.74,2.6,0.00,0.74,2.6,0.00
PF11699,1.00,,0.00,1.00,,0.00
PF11759,0.59,2.8,0.18,0.49,2.83,0.33
PF11788,1.00,,0.00,1.00,,0.00
PF11789,1.00,,0.00,1.00,,0.00
PF11802,1.00,,0.00,1.00,,0.00
PF11819,1.00,,0.00,1.00,,0.00
PF11838,1.00,,0.00,1.00,,0.00
PF11933,1.00,,0.00,1.00,,0.00
PF11971,1.00,,0.00,1.00,,0.00
PF11977,0.73,2.45,0.01,0.72,2.4,0.02
PF12004,1.00,,0.00,1.00,,0.00
PF12047,1.00,,0.00,1.00,,0.00
PF12160,1.00,,0.00,1.00,,0.00
PF12171,0.63,1.15,0.02,0.63,1.04,0.00
PF12201,1.00,,0.00,1.00,,0.00
PF12231,1.00,,0.00,1.00,,0.00
PF12260,1.00,,0.00,1.00,,0.00
PF12297,1.00,,0.00,1.00,,0.00
PF12304,1.00,,0.00,1.00,,0.00
PF12349,1.00,,0.00,1.00,,0.00
PF12424,0.57,0.86,0.19,1.00,,0.00
PF12440,0.47,1.07,0.09,0.48,0.99,0.06
PF12480,0.86,3.88,0.01,0.86,3.75,0.00
PF12548,0.54,0.83,0.29,1.00,,0.00
PF12569,1.00,,0.00,1.00,,0.00
PF12657,1.00,,0.00,1.00,,0.00
PF12661,0.50,2.54,0.07,0.49,2.36,0.12
PF12662,0.59,3.0,0.01,0.52,2.78,0.12
PF12738,1.00,,0.00,1.00,,0.00
PF12770,1.00,,0.00,1.00,,0.00
PF12777,0.85,3.6,0.00,0.85,3.6,0.00
PF12796,0.62,1.14,0.04,1.00,,0.00
PF12799,1.00,,0.00,1.00,,0.00
PF12851,1.00,,0.00,1.00,,0.00
PF12861,1.00,,0.00,1.00,,0.00
PF12872,0.40,0.8,0.08,0.43,0.49,0.02
PF12874,0.53,2.36,0.03,0.60,2.21,0.00
PF12877,1.00,,0.00,1.00,,0.00
PF12885,1.00,,0.00,1.00,,0.00
PF12906,1.00,,0.00,1.00,,0.00
PF12937,0.67,1.64,0.02,0.63,1.13,0.04
PF12947,0.54,2.74,0.06,0.64,3.02,0.03
PF12998,1.00,,0.00,1.00,,0.00
PF13086,1.00,,0.00,1.00,,0.00
PF13087,1.00,,0.00,1.00,,0.00
PF13088,1.00,,0.00,1.00,,0.00
PF13193,0.59,0.35,0.01,0.57,0.21,0.07
PF13240,1.00,,0.00,1.00,,0.00
PF13279,1.00,,0.00,1.00,,0.00
PF13324,1.00,,0.00,1.00,,0.00
PF13330,0.73,2.61,0.01,1.00,,0.00
PF13365,1.00,,0.00,1.00,,0.00
PF13378,1.00,,0.00,1.00,,0.00
PF13402,0.86,4.16,0.00,0.86,4.14,0.00
PF13410,1.00,,0.00,1.00,,0.00
PF13450,1.00,,0.00,1.00,,0.00
PF13499,0.59,0.57,0.07,0.59,0.47,0.03
PF13513,1.00,,0.00,0.53,0.61,0.06
PF13517,1.00,,0.00,0.61,0.62,0.04
PF13679,1.00,,0.00,1.00,,0.00
PF13691,1.00,,0.00,1.00,,0.00
PF13725,1.00,,0.00,1.00,,0.00
PF13757,0.72,1.97,0.01,0.72,1.94,0.00
PF13765,0.63,2.29,0.01,0.61,2.31,0.05
PF13804,0.98,5.35,0.00,0.98,5.34,0.00
PF13831,1.00,,0.00,1.00,,0.00
PF13832,1.00,,0.00,1.00,,0.00
PF13833,1.00,,0.00,1.00,,0.00
PF13837,0.93,4.63,0.00,1.00,,0.00
PF13840,1.00,,0.00,1.00,,0.00
PF13841,0.53,2.02,0.01,0.52,1.96,0.02
PF13842,1.00,,0.00,1.00,,0.00
PF13843,0.61,1.84,0.01,0.56,1.83,0.09
PF13848,0.57,0.01,0.01,0.56,-0.04,0.04
PF13853,1.00,,0.00,1.00,,0.00
PF13855,0.62,1.35,0.03,0.70,1.25,0.00
PF13862,1.00,,0.00,1.00,,0.00
PF13868,0.60,0.66,0.01,0.60,0.65,0.00
PF13873,0.63,0.95,0.01,0.62,0.94,0.01
PF13883,0.69,2.29,0.01,0.69,2.22,0.00
PF13885,0.55,2.72,0.06,0.48,2.42,0.15
PF13895,0.39,0.57,0.09,0.35,0.59,0.27
PF13897,1.00,,0.00,1.00,,0.00
PF13899,1.00,,0.00,1.00,,0.00
PF13903,1.00,,0.00,1.00,,0.00
PF13905,1.00,,0.00,1.00,,0.00
PF13908,0.61,1.73,0.13,0.59,0.89,0.14
PF13911,0.53,0.98,0.05,0.52,0.99,0.07
PF13913,0.54,2.03,0.08,0.59,1.52,0.00
PF13914,1.00,,0.00,1.00,,0.00
PF13916,1.00,,0.00,1.00,,0.00
PF13920,0.59,2.1,0.04,0.55,1.68,0.06
PF13923,1.00,,0.00,1.00,,0.00
PF13927,0.46,1.17,0.07,0.46,0.88,0.12
PF14160,1.00,,0.00,1.00,,0.00
PF14260,1.00,,0.00,1.00,,0.00
PF14306,0.84,3.85,0.00,0.84,3.76,0.00
PF14360,1.00,,0.00,1.00,,0.00
PF14493,1.00,,0.00,1.00,,0.00
PF14523,1.00,,0.00,1.00,,0.00
PF14565,1.00,,0.00,1.00,,0.00
PF14572,1.00,,0.00,1.00,,0.00
PF14596,1.00,,0.00,1.00,,0.00
PF14631,1.00,,0.00,1.00,,0.00
PF14634,1.00,,0.00,1.00,,0.00
PF14635,1.00,,0.00,1.00,,0.00
PF14639,1.00,,0.00,1.00,,0.00
PF14642,0.33,4.15,0.64,1.00,,0.00
PF14643,1.00,,0.00,1.00,,0.00
PF14648,1.00,,0.00,1.00,,0.00
PF14650,0.63,0.84,0.04,0.62,0.83,0.05
PF14651,1.00,,0.00,1.00,,0.00
PF14654,1.00,,0.00,1.00,,0.00
PF14670,1.00,,0.00,1.00,,0.00
PF14694,1.00,,0.00,1.00,,0.00
PF14701,1.00,,0.00,1.00,,0.00
PF14707,0.66,2.73,0.02,0.61,2.76,0.11
PF14713,1.00,,0.00,1.00,,0.00
PF14724,1.00,,0.00,1.00,,0.00
PF14749,1.00,,0.00,1.00,,0.00
PF14787,0.88,4.58,0.00,0.88,4.58,0.00
PF14797,1.00,,0.00,1.00,,0.00
PF14800,1.00,,0.00,1.00,,0.00
PF14816,1.00,,0.00,1.00,,0.00
PF14817,1.00,,0.00,1.00,,0.00
PF14818,1.00,,0.00,1.00,,0.00
PF14828,1.00,,0.00,1.00,,0.00
PF14836,0.65,1.74,0.02,0.63,1.72,0.09
PF14858,1.00,,0.00,1.00,,0.00
PF14880,1.00,,0.00,1.00,,0.00
PF14893,1.00,,0.00,1.00,,0.00
PF14915,1.00,,0.00,1.00,,0.00
PF14922,1.00,,0.00,1.00,,0.00
PF14925,1.00,,0.00,1.00,,0.00
PF14932,1.00,,0.00,1.00,,0.00
PF14933,1.00,,0.00,1.00,,0.00
PF14950,1.00,,0.00,1.00,,0.00
PF14951,1.00,,0.00,1.00,,0.00
PF14957,1.00,,0.00,1.00,,0.00
PF14958,1.00,,0.00,1.00,,0.00
PF14967,1.00,,0.00,1.00,,0.00
PF14969,1.00,,0.00,1.00,,0.00
PF14977,1.00,,0.00,1.00,,0.00
PF14979,1.00,,0.00,1.00,,0.00
PF14985,1.00,,0.00,1.00,,0.00
PF14986,1.00,,0.00,1.00,,0.00
PF14988,0.59,0.62,0.03,0.59,0.62,0.03
PF14992,0.71,1.97,0.01,0.71,1.97,0.02
PF15005,0.63,1.06,0.01,0.62,1.06,0.02
PF15015,1.00,,0.00,1.00,,0.00
PF15020,1.00,,0.00,1.00,,0.00
PF15030,1.00,,0.00,1.00,,0.00
PF15032,1.00,,0.00,1.00,,0.00
PF15037,1.00,,0.00,1.00,,0.00
PF15039,1.00,,0.00,1.00,,0.00
PF15040,0.79,2.89,0.00,0.79,2.89,0.00
PF15050,1.00,,0.00,1.00,,0.00
PF15057,1.00,,0.00,1.00,,0.00
PF15058,1.00,,0.00,1.00,,0.00
PF15068,1.00,,0.00,1.00,,0.00
PF15070,1.00,,0.00,1.00,,0.00
PF15079,1.00,,0.00,1.00,,0.00
PF15080,1.00,,0.00,1.00,,0.00
PF15081,1.00,,0.00,1.00,,0.00
PF15083,1.00,,0.00,1.00,,0.00
PF15095,1.00,,0.00,1.00,,0.00
PF15101,1.00,,0.00,1.00,,0.00
PF15102,1.00,,0.00,1.00,,0.00
PF15105,1.00,,0.00,1.00,,0.00
PF15136,1.00,,0.00,1.00,,0.00
PF15141,1.00,,0.00,1.00,,0.00
PF15142,1.00,,0.00,1.00,,0.00
PF15143,0.59,3.68,0.38,1.00,,0.00
PF15149,1.00,,0.00,1.00,,0.00
PF15160,1.00,,0.00,1.00,,0.00
PF15164,1.00,,0.00,1.00,,0.00
PF15165,1.00,,0.00,1.00,,0.00
PF15174,1.00,,0.00,1.00,,0.00
PF15177,0.63,0.76,0.03,0.62,0.75,0.04
PF15180,1.00,,0.00,1.00,,0.00
PF15192,1.00,,0.00,1.00,,0.00
PF15195,1.00,,0.00,1.00,,0.00
PF15199,1.00,,0.00,1.00,,0.00
PF15201,1.00,,0.00,1.00,,0.00
PF15202,1.00,,0.00,1.00,,0.00
PF15205,1.00,,0.00,1.00,,0.00
PF15206,1.00,,0.00,1.00,,0.00
PF15209,1.00,,0.00,1.00,,0.00
PF15215,1.00,,0.00,1.00,,0.00
PF15218,1.00,,0.00,1.00,,0.00
PF15227,1.00,,0.00,1.00,,0.00
PF15231,1.00,,0.00,1.00,,0.00
PF15255,1.00,,0.00,1.00,,0.00
PF15268,1.00,,0.00,1.00,,0.00
PF15274,1.00,,0.00,1.00,,0.00
PF15288,1.00,,0.00,1.00,,0.00
PF15291,1.00,,0.00,1.00,,0.00
PF15292,1.00,,0.00,1.00,,0.00
PF15314,1.00,,0.00,1.00,,0.00
PF15315,1.00,,0.00,1.00,,0.00
PF15319,1.00,,0.00,1.00,,0.00
PF15324,1.00,,0.00,1.00,,0.00
PF15334,1.00,,0.00,1.00,,0.00
PF15338,1.00,,0.00,1.00,,0.00
PF15339,1.00,,0.00,1.00,,0.00
PF15347,1.00,,0.00,1.00,,0.00
PF15351,1.00,,0.00,1.00,,0.00
PF15352,1.00,,0.00,1.00,,0.00
PF15357,1.00,,0.00,1.00,,0.00
PF15371,1.00,,0.00,1.00,,0.00
PF15372,1.00,,0.00,1.00,,0.00
PF15379,1.00,,0.00,1.00,,0.00
PF15384,1.00,,0.00,1.00,,0.00
PF15390,1.00,,0.00,1.00,,0.00
PF15391,1.00,,0.00,1.00,,0.00
PF15393,1.00,,0.00,1.00,,0.00
PF15395,1.00,,0.00,1.00,,0.00
PF15399,1.00,,0.00,1.00,,0.00
PF15412,1.00,,0.00,1.00,,0.00
PF15419,1.00,,0.00,1.00,,0.00
PF15423,1.00,,0.00,1.00,,0.00
PF15429,1.00,,0.00,1.00,,0.00
PF15439,1.00,,0.00,1.00,,0.00
PF15440,1.00,,0.00,1.00,,0.00
PF15441,1.00,,0.00,1.00,,0.00
PF15455,1.00,,0.00,1.00,,0.00
PF15462,1.00,,0.00,1.00,,0.00
PF15471,1.00,,0.00,1.00,,0.00
PF15482,1.00,,0.00,1.00,,0.00
PF15483,1.00,,0.00,1.00,,0.00
PF15485,1.00,,0.00,1.00,,0.00
PF15489,1.00,,0.00,1.00,,0.00
PF15506,1.00,,0.00,1.00,,0.00
PF15508,1.00,,0.00,1.00,,0.00
PF15539,1.00,,0.00,1.00,,0.00
PF15554,1.00,,0.00,1.00,,0.00
PF15557,1.00,,0.00,1.00,,0.00
PF15578,1.00,,0.00,1.00,,0.00
PF15621,1.00,,0.00,1.00,,0.00
PF15622,1.00,,0.00,1.00,,0.00
PF15664,1.00,,0.00,1.00,,0.00
PF15670,1.00,,0.00,1.00,,0.00
PF15681,1.00,,0.00,1.00,,0.00
PF15687,1.00,,0.00,1.00,,0.00
PF15688,1.00,,0.00,1.00,,0.00
PF15695,0.90,3.79,0.00,0.90,3.79,0.00
PF15710,1.00,,0.00,1.00,,0.00
PF15721,1.00,,0.00,1.00,,0.00
PF15727,1.00,,0.00,1.00,,0.00
PF15729,1.00,,0.00,1.00,,0.00
PF15741,1.00,,0.00,1.00,,0.00
PF15746,1.00,,0.00,1.00,,0.00
PF15754,1.00,,0.00,1.00,,0.00
PF15758,1.00,,0.00,1.00,,0.00
PF15769,1.00,,0.00,1.00,,0.00
PF15776,1.00,,0.00,1.00,,0.00
PF15783,0.35,1.05,0.44,1.00,,0.00
PF15788,0.48,1.25,0.24,0.72,1.69,0.05
PF15789,1.00,,0.00,1.00,,0.00
PF15790,1.00,,0.00,1.00,,0.00
PF15807,1.00,,0.00,1.00,,0.00
PF15816,1.00,,0.00,1.00,,0.00
PF15817,1.00,,0.00,1.00,,0.00
PF15821,1.00,,0.00,1.00,,0.00
PF15830,1.00,,0.00,1.00,,0.00
PF15838,1.00,,0.00,1.00,,0.00
PF15841,1.00,,0.00,1.00,,0.00
PF15843,1.00,,0.00,1.00,,0.00
PF15845,1.00,,0.00,1.00,,0.00
PF15847,1.00,,0.00,1.00,,0.00
PF15849,1.00,,0.00,1.00,,0.00
PF15855,1.00,,0.00,1.00,,0.00
PF15873,1.00,,0.00,1.00,,0.00
PF15874,0.64,0.99,0.01,0.62,0.97,0.04
PF15875,1.00,,0.00,1.00,,0.00
PF15876,1.00,,0.00,1.00,,0.00
PF15895,1.00,,0.00,1.00,,0.00
PF15897,1.00,,0.00,1.00,,0.00
PF15902,1.00,,0.00,1.00,,0.00
PF15903,1.00,,0.00,1.00,,0.00
PF15908,1.00,,0.00,1.00,,0.00
PF15909,1.00,,0.00,1.00,,0.00
PF15910,1.00,,0.00,1.00,,0.00
PF15913,1.00,,0.00,1.00,,0.00
PF15961,1.00,,0.00,1.00,,0.00
PF15964,1.00,,0.00,1.00,,0.00
PF15974,1.00,,0.00,1.00,,0.00
PF16006,1.00,,0.00,1.00,,0.00
PF16076,1.00,,0.00,1.00,,0.00
PF16094,1.00,,0.00,1.00,,0.00
PF16177,1.00,,0.00,1.00,,0.00
PF16182,0.50,,0.50,1.00,,0.00
PF16207,1.00,,0.00,1.00,,0.00
PF16208,1.00,,0.00,1.00,,0.00
PF16210,1.00,,0.00,1.00,,0.00
PF16214,1.00,,0.00,1.00,,0.00
PF16317,1.00,,0.00,1.00,,0.00
PF16360,1.00,,0.00,1.00,,0.00
PF16474,1.00,,0.00,1.00,,0.00
PF16482,1.00,,0.00,1.00,,0.00
PF16489,1.00,,0.00,1.00,,0.00
PF16492,0.85,3.54,0.02,0.86,3.5,0.00
PF16499,1.00,,0.00,1.00,,0.00
PF16619,1.00,,0.00,1.00,,0.00
PF16620,1.00,,0.00,1.00,,0.00
PF16630,1.00,,0.00,1.00,,0.00
PF16647,1.00,,0.00,1.00,,0.00
PF16652,1.00,,0.00,1.00,,0.00
PF16696,1.00,,0.00,1.00,,0.00
PF16716,1.00,,0.00,1.00,,0.00
PF16746,1.00,,0.00,1.00,,0.00
PF16788,1.00,,0.00,1.00,,0.00
PF17039,0.87,4.19,0.00,0.87,4.16,0.00
PF17047,1.00,,0.00,1.00,,0.00
PF17085,1.00,,0.00,1.00,,0.00
PF17146,1.00,,0.00,1.00,,0.00
PF17256,1.00,,0.00,1.00,,0.00
PF17284,0.63,1.64,0.03,0.63,1.64,0.05
PF17285,1.00,,0.00,1.00,,0.00
PF17286,1.00,,0.00,1.00,,0.00
PF17291,0.80,3.41,0.00,0.81,3.36,0.00
PF17333,1.00,,0.00,1.00,,0.00
PF17450,1.00,,0.00,1.00,,0.00
PF17489,1.00,,0.00,1.00,,0.00
PF17490,1.00,,0.00,1.00,,0.00
PF17677,1.00,,0.00,1.00,,0.00
PF17686,1.00,,0.00,1.00,,0.00
PF17690,1.00,,0.00,1.00,,0.00
PF17698,1.00,,0.00,1.00,,0.00
PF17699,1.00,,0.00,1.00,,0.00
PF17703,1.00,,0.00,1.00,,0.00
PF17706,1.00,,0.00,1.00,,0.00
PF17708,0.51,0.7,0.04,0.51,0.68,0.03
PF17710,1.00,,0.00,1.00,,0.00
PF17714,1.00,,0.00,1.00,,0.00
PF17729,1.00,,0.00,1.00,,0.00
PF17739,1.00,,0.00,1.00,,0.00
PF17744,1.00,,0.00,1.00,,0.00
PF17749,1.00,,0.00,1.00,,0.00
PF17776,1.00,,0.00,1.00,,0.00
PF17779,1.00,,0.00,1.00,,0.00
PF17780,1.00,,0.00,1.00,,0.00
PF17790,1.00,,0.00,1.00,,0.00
PF17791,1.00,,0.00,1.00,,0.00
PF17821,1.00,,0.00,1.00,,0.00
PF17825,1.00,,0.00,1.00,,0.00
PF17848,1.00,,0.00,1.00,,0.00
PF17857,0.78,2.94,0.00,0.78,2.94,0.00
PF17862,1.00,,0.00,1.00,,0.00
PF17900,0.60,1.53,0.01,0.59,1.54,0.05
PF17927,1.00,,0.00,1.00,,0.00
PF17949,1.00,,0.00,1.00,,0.00
PF18111,1.00,,0.00,1.00,,0.00
PF18114,1.00,,0.00,1.00,,0.00
PF18122,1.00,,0.00,1.00,,0.00
PF18139,1.00,,0.00,1.00,,0.00
PF18201,1.00,,0.00,1.00,,0.00
PF18256,1.00,,0.00,1.00,,0.00
PF18366,0.84,3.7,0.00,0.83,3.7,0.01
PF18727,0.69,2.57,0.02,0.68,2.56,0.02
PF18872,0.92,4.77,0.00,1.00,,0.00
PF18875,1.00,,0.00,1.00,,0.00
PF18876,1.00,,0.00,1.00,,0.00
PF19031,0.45,0.37,0.04,0.44,0.32,0.12
PF19032,0.56,0.14,0.08,0.55,0.14,0.16
PF19033,0.45,0.08,0.04,0.41,0.05,0.25
PF19036,0.57,-0.15,0.02,0.56,-0.13,0.10
PF19037,0.58,-0.18,0.05,0.54,-0.33,0.27
PF19038,0.56,-0.49,0.02,0.53,-0.61,0.21
PF19046,1.00,,0.00,1.00,,0.00
PF19047,1.00,,0.00,1.00,,0.00
PF19088,1.00,,0.00,1.00,,0.00
PF19236,1.00,,0.00,1.00,,0.00
PF19273,1.00,,0.00,1.00,,0.00
PF19317,1.00,,0.00,1.00,,0.00
PF19326,0.78,3.08,0.00,0.78,3.14,0.02
PF19336,1.00,,0.00,1.00,,0.00
PF19729,1.00,,0.00,1.00,,0.00
PF19743,1.00,,0.00,1.00,,0.00
PF20166,0.56,1.0,0.01,0.54,1.0,0.07
PF20168,1.00,,0.00,1.00,,0.00
PF20258,1.00,,0.00,1.00,,0.00
PF20259,1.00,,0.00,1.00,,0.00
PF20266,0.61,1.25,0.04,0.60,1.16,0.06
PF20433,1.00,,0.00,1.00,,0.00
PF20443,0.55,0.06,0.10,0.55,0.05,0.12
PF20491,1.00,,0.00,1.00,,0.00
PF20510,1.00,,0.00,1.00,,0.00
PF20511,1.00,,0.00,1.00,,0.00
PF20512,1.00,,0.00,1.00,,0.00
PF20514,1.00,,0.00,1.00,,0.00
PF20518,1.00,,0.00,1.00,,0.00
PF20519,1.00,,0.00,1.00,,0.00
PF20626,1.00,,0.00,1.00,,0.00
PF20634,1.00,,0.00,1.00,,0.00
PF20665,1.00,,0.00,1.00,,0.00
PF20666,1.00,,0.00,1.00,,0.00
PF20691,0.84,4.01,0.00,0.84,3.88,0.00
PF20692,1.00,,0.00,1.00,,0.00
PF20721,1.00,,0.00,1.00,,0.00
PF20770,1.00,,0.00,1.00,,0.00
PF20801,1.00,,0.00,1.00,,0.00
PF20805,0.54,1.23,0.04,0.52,1.2,0.11
PF20806,0.48,0.74,0.11,0.48,0.71,0.11
PF20808,1.00,,0.00,1.00,,0.00
PF20826,1.00,,0.00,1.00,,0.00
PF20854,1.00,,0.00,1.00,,0.00
PF20864,1.00,,0.00,1.00,,0.00
PF20885,1.00,,0.00,1.00,,0.00
PF20927,1.00,,0.00,1.00,,0.00
PF20936,1.00,,0.00,1.00,,0.00
PF20989,1.00,,0.00,1.00,,0.00
PF20996,1.00,,0.00,1.00,,0.00
PF21009,0.53,1.78,0.42,1.00,,0.00
PF21031,1.00,,0.00,1.00,,0.00
PF21032,1.00,,0.00,1.00,,0.00
PF21033,1.00,,0.00,1.00,,0.00
PF21034,1.00,,0.00,1.00,,0.00
PF21044,1.00,,0.00,1.00,,0.00
PF21045,1.00,,0.00,1.00,,0.00
PF21317,1.00,,0.00,1.00,,0.00
PF21363,1.00,,0.00,1.00,,0.00
PF21365,0.84,3.67,0.00,1.00,,0.00
PF21399,1.00,,0.00,1.00,,0.00
PF21530,1.00,,0.00,1.00,,0.00
PF21711,1.00,,0.00,1.00,,0.00
PF21771,1.00,,0.00,1.00,,0.00
