Pfam_code,HMMER_gaps,FULL_gaps,HMMER_vs_FULL_gaps_diff,HMMER_vs_FULL_gaps_%_improvement
PF02617,0.01,0.02,0.01,50.00
PF02628,0.00,0.00,0.00,
PF02629,0.07,0.08,0.01,12.50
PF02630,0.01,0.01,0.00,0.00
PF02636,0.00,0.00,0.00,
PF02637,0.00,0.00,0.00,
PF02661,0.00,0.00,0.00,
PF02666,0.00,0.00,0.00,
PF02668,0.06,0.06,0.00,0.00
PF02671,0.22,0.20,-0.02,-10.00
PF02676,0.00,0.00,0.00,
PF02678,0.00,0.00,0.00,
PF02686,0.00,0.00,0.00,
PF02690,0.38,0.27,-0.11,-40.74
PF02696,0.00,0.00,0.00,
PF02709,0.02,0.02,0.00,0.00
PF02724,0.00,0.66,0.66,100.00
PF02727,0.00,0.00,0.00,
PF02728,0.04,0.04,0.00,0.00
PF02729,0.06,0.06,0.00,0.00
PF02731,0.00,0.00,0.00,
PF02732,0.29,0.29,0.00,0.00
PF02733,0.00,0.00,0.00,
PF02734,0.00,0.00,0.00,
PF02735,0.07,0.11,0.04,36.36
PF02736,0.08,0.07,-0.01,-14.29
PF02737,0.05,0.04,-0.01,-25.00
PF02738,0.01,0.02,0.01,50.00
PF02740,0.00,0.00,0.00,
PF02744,0.00,0.00,0.00,
PF02746,0.00,0.00,0.00,
PF02747,0.00,0.00,0.00,
PF02749,0.00,0.00,0.00,
PF02750,0.00,0.00,0.00,
PF02751,0.00,0.00,0.00,
PF02752,0.22,0.21,-0.01,-4.76
PF02755,0.10,0.08,-0.02,-25.00
PF02758,0.20,0.21,0.01,4.76
PF02759,0.39,0.47,0.08,17.02
PF02760,0.03,0.01,-0.02,-200.00
PF02761,0.00,0.00,0.00,
PF02762,0.00,0.00,0.00,
PF02765,0.00,0.00,0.00,
PF02769,0.25,0.29,0.04,13.79
PF02770,0.29,0.27,-0.02,-7.41
PF02771,0.25,0.23,-0.02,-8.70
PF02772,0.01,0.01,0.00,0.00
PF02773,0.00,0.00,0.00,
PF02775,0.10,0.07,-0.03,-42.86
PF02776,0.02,0.02,0.00,0.00
PF02777,0.00,0.00,0.00,
PF02778,0.00,0.00,0.00,
PF02779,0.17,0.17,0.00,0.00
PF02780,0.09,0.09,0.00,0.00
PF02781,0.11,0.09,-0.02,-22.22
PF02782,0.18,0.17,-0.01,-5.88
PF02784,0.01,0.01,0.00,0.00
PF02785,0.04,0.04,0.00,0.00
PF02786,0.09,0.11,0.02,18.18
PF02787,0.02,0.05,0.03,60.00
PF02789,0.00,0.00,0.00,
PF02790,0.00,0.00,0.00,
PF02791,0.12,0.13,0.01,7.69
PF02792,0.00,0.00,0.00,
PF02793,0.35,0.35,0.00,0.00
PF02798,0.18,0.22,0.04,18.18
PF02799,0.01,0.01,0.00,0.00
PF02800,0.00,0.00,0.00,
PF02801,0.02,0.01,-0.01,-100.00
PF02803,0.12,0.12,0.00,0.00
PF02806,0.12,0.11,-0.01,-9.09
PF02807,0.01,0.03,0.02,66.67
PF02809,0.21,0.11,-0.10,-90.91
PF02812,0.00,0.00,0.00,
PF02815,0.24,0.25,0.01,4.00
PF02816,0.15,0.13,-0.02,-15.38
PF02817,0.09,0.05,-0.04,-80.00
PF02818,0.01,0.01,0.00,0.00
PF02820,0.15,0.25,0.10,40.00
PF02822,0.11,0.14,0.03,21.43
PF02823,0.00,0.00,0.00,
PF02824,0.14,0.18,0.04,22.22
PF02825,0.31,0.29,-0.02,-6.90
PF02826,0.03,0.03,0.00,0.00
PF02827,0.02,0.01,-0.01,-100.00
PF02828,0.14,0.19,0.05,26.32
PF02833,0.17,0.05,-0.12,-240.00
PF02836,0.34,0.22,-0.12,-54.55
PF02837,0.36,0.35,-0.01,-2.86
PF02840,0.00,0.00,0.00,
PF02841,0.16,0.18,0.02,11.11
PF02843,0.00,0.00,0.00,
PF02844,0.00,0.00,0.00,
PF02845,0.10,0.08,-0.02,-25.00
PF02847,0.07,0.07,0.00,0.00
PF02852,0.02,0.02,0.00,0.00
PF02854,0.28,0.41,0.13,31.71
PF02862,0.42,0.50,0.08,16.00
PF02864,0.13,0.10,-0.03,-30.00
PF02865,0.06,0.06,0.00,0.00
PF02866,0.12,0.12,0.00,0.00
PF02867,0.00,0.00,0.00,
PF02870,0.00,0.00,0.00,
PF02872,0.00,0.00,0.00,
PF02874,0.08,0.08,0.00,0.00
PF02877,0.03,0.03,0.00,0.00
PF02878,0.34,0.40,0.06,15.00
PF02879,0.20,0.11,-0.09,-81.82
PF02880,0.28,0.11,-0.17,-154.55
PF02881,0.07,0.09,0.02,22.22
PF02882,0.14,0.14,0.00,0.00
PF02883,0.12,0.15,0.03,20.00
PF02885,0.00,0.00,0.00,
PF02886,0.23,0.33,0.10,30.30
PF02887,0.02,0.01,-0.01,-100.00
PF02888,0.04,0.04,0.00,0.00
PF02889,0.34,0.35,0.01,2.86
PF02891,0.02,0.02,0.00,0.00
PF02892,0.10,0.11,0.01,9.09
PF02893,0.35,0.36,0.01,2.78
PF02897,0.16,0.16,0.00,0.00
PF02898,0.01,0.00,-0.01,
PF02902,0.47,0.48,0.01,2.08
PF02906,0.02,0.03,0.01,33.33
PF02910,0.00,0.00,0.00,
PF02911,0.08,0.08,0.00,0.00
PF02913,0.12,0.12,0.00,0.00
PF02919,0.00,0.00,0.00,
PF02921,0.00,0.00,0.00,
PF02922,0.00,0.00,0.00,
PF02926,0.22,0.29,0.07,24.14
PF02928,0.08,0.08,0.00,0.00
PF02931,0.20,0.25,0.05,20.00
PF02932,0.60,0.72,0.12,16.67
PF02933,0.14,0.24,0.10,41.67
PF02934,0.00,0.00,0.00,
PF02935,0.00,0.00,0.00,
PF02936,0.05,0.05,0.00,0.00
PF02937,0.00,0.00,0.00,
PF02938,0.00,0.00,0.00,
PF02939,0.00,0.00,0.00,
PF02946,0.02,0.03,0.01,33.33
PF02947,0.00,0.00,0.00,
PF02948,0.05,0.05,0.00,0.00
PF02953,0.07,0.07,0.00,0.00
PF02961,0.02,0.01,-0.01,-100.00
PF02965,0.00,0.00,0.00,
PF02966,0.01,0.01,0.00,0.00
PF02969,0.02,0.01,-0.01,-100.00
PF02970,0.00,0.00,0.00,
PF02971,0.00,0.00,0.00,
PF02978,0.00,0.00,0.00,
PF02984,0.46,0.38,-0.08,-21.05
PF02985,0.15,0.20,0.05,25.00
PF02988,0.00,0.00,0.00,
PF02990,0.13,0.13,0.00,0.00
PF02991,0.01,0.02,0.01,50.00
PF02994,0.02,0.02,0.00,0.00
PF02996,0.08,0.08,0.00,0.00
PF03002,0.16,0.10,-0.06,-60.00
PF03006,0.21,0.22,0.01,4.55
PF03009,0.45,0.46,0.01,2.17
PF03015,0.00,0.00,0.00,
PF03016,0.22,0.21,-0.01,-4.76
PF03020,0.18,0.16,-0.02,-12.50
PF03024,0.31,0.30,-0.01,-3.33
PF03028,0.28,0.33,0.05,15.15
PF03029,0.04,0.04,0.00,0.00
PF03031,0.19,0.24,0.05,20.83
PF03034,0.02,0.02,0.00,0.00
PF03036,0.15,0.15,0.00,0.00
PF03039,0.00,0.00,0.00,
PF03045,0.15,0.16,0.01,6.25
PF03051,0.00,0.00,0.00,
PF03054,0.00,0.00,0.00,
PF03055,0.08,0.08,0.00,0.00
PF03061,0.17,0.18,0.01,5.56
PF03062,0.39,0.46,0.07,15.22
PF03066,0.03,0.03,0.00,0.00
PF03068,0.05,0.05,0.00,0.00
PF03071,0.22,0.25,0.03,12.00
PF03073,0.01,0.02,0.01,50.00
PF03074,0.00,0.00,0.00,
PF03079,0.00,0.00,0.00,
PF03081,0.00,0.00,0.00,
PF03083,0.03,0.02,-0.01,-50.00
PF03088,0.00,0.00,0.00,
PF03089,0.00,0.00,0.00,
PF03091,0.00,0.00,0.00,
PF03095,0.00,0.00,0.00,
PF03096,0.01,0.02,0.01,50.00
PF03097,0.23,0.30,0.07,23.33
PF03098,0.23,0.24,0.01,4.17
PF03099,0.00,0.00,0.00,
PF03102,0.00,0.00,0.00,
PF03104,0.20,0.41,0.21,51.22
PF03109,0.15,0.27,0.12,44.44
PF03114,0.21,0.22,0.01,4.55
PF03121,0.00,0.00,0.00,
PF03126,0.00,0.00,0.00,
PF03127,0.05,0.04,-0.01,-25.00
PF03128,0.00,0.00,0.00,
PF03129,0.20,0.34,0.14,41.18
PF03131,0.15,0.17,0.02,11.76
PF03133,0.26,0.35,0.09,25.71
PF03134,0.01,0.02,0.01,50.00
PF03137,0.59,0.14,-0.45,-321.43
PF03142,0.00,0.00,0.00,
PF03143,0.00,0.00,0.00,
PF03144,0.17,0.17,0.00,0.00
PF03145,0.02,0.14,0.12,85.71
PF03146,0.00,0.00,0.00,
PF03147,0.06,0.02,-0.04,-200.00
PF03148,0.14,0.16,0.02,12.50
PF03151,0.23,0.20,-0.03,-15.00
PF03152,0.00,0.00,0.00,
PF03153,0.48,0.48,0.00,0.00
PF03154,0.39,0.38,-0.01,-2.63
PF03155,0.10,0.10,0.00,0.00
PF03159,0.06,0.08,0.02,25.00
PF03160,0.64,0.60,-0.04,-6.67
PF03165,0.35,0.35,0.00,0.00
PF03166,0.18,0.18,0.00,0.00
PF03167,0.24,0.17,-0.07,-41.18
PF03171,0.05,0.08,0.03,37.50
PF03172,0.05,0.04,-0.01,-25.00
PF03176,0.00,0.00,0.00,
PF03177,0.30,0.28,-0.02,-7.14
PF03178,0.13,0.13,0.00,0.00
PF03179,0.01,0.01,0.00,0.00
PF03184,0.19,0.25,0.06,24.00
PF03185,0.03,0.03,0.00,0.00
PF03188,0.03,0.03,0.00,0.00
PF03189,0.66,0.70,0.04,5.71
PF03190,0.00,0.00,0.00,
PF03194,0.03,0.10,0.07,70.00
PF03199,0.00,0.00,0.00,
PF03200,0.00,0.00,0.00,
PF03208,0.04,0.08,0.04,50.00
PF03215,0.00,0.00,0.00,
PF03221,0.21,0.16,-0.05,-31.25
PF03223,0.07,0.06,-0.01,-16.67
PF03224,0.00,0.00,0.00,
PF03226,0.24,0.25,0.01,4.00
PF03227,0.00,0.00,0.00,
PF03232,0.00,0.00,0.00,
PF03234,0.00,0.00,0.00,
PF03247,0.06,0.07,0.01,14.29
PF03248,0.00,0.00,0.00,
PF03250,0.22,0.32,0.10,31.25
PF03253,0.00,0.00,0.00,
PF03256,0.40,0.39,-0.01,-2.56
PF03259,0.04,0.04,0.00,0.00
PF03261,0.01,0.11,0.10,90.91
PF03265,0.02,0.02,0.00,0.00
PF03271,0.00,0.00,0.00,
PF03281,0.28,0.35,0.07,20.00
PF03283,0.00,0.00,0.00,
PF03285,0.53,0.47,-0.06,-12.77
PF03291,0.00,0.00,0.00,
PF03297,0.00,0.00,0.00,
PF03298,0.07,0.03,-0.04,-133.33
PF03299,0.01,0.01,0.00,0.00
PF03301,0.00,0.00,0.00,
PF03308,0.00,0.00,0.00,
PF03311,0.30,0.38,0.08,21.05
PF03328,0.00,0.00,0.00,
PF03332,0.01,0.01,0.00,0.00
PF03343,0.00,0.00,0.00,
PF03344,0.00,0.00,0.00,
PF03345,0.00,0.00,0.00,
PF03348,0.13,0.13,0.00,0.00
PF03351,0.10,0.10,0.00,0.00
PF03357,0.18,0.26,0.08,30.77
PF03359,0.20,0.32,0.12,37.50
PF03360,0.05,0.05,0.00,0.00
PF03364,0.02,0.02,0.00,0.00
PF03366,0.07,0.02,-0.05,-250.00
PF03367,0.03,0.05,0.02,40.00
PF03368,0.00,0.00,0.00,
PF03370,0.26,0.27,0.01,3.70
PF03371,0.07,0.08,0.01,12.50
PF03372,0.53,0.57,0.04,7.02
PF03378,0.00,0.00,0.00,
PF03381,0.05,0.04,-0.01,-25.00
PF03388,0.03,0.02,-0.01,-50.00
PF03398,0.00,0.00,0.00,
PF03399,0.11,0.17,0.06,35.29
PF03402,0.12,0.13,0.01,7.69
PF03403,0.02,0.02,0.00,0.00
PF03404,0.00,0.00,0.00,
PF03414,0.11,0.12,0.01,8.33
PF03416,0.15,0.15,0.00,0.00
PF03435,0.10,0.10,0.00,0.00
PF03439,0.00,0.00,0.00,
PF03441,0.00,0.00,0.00,
PF03446,0.07,0.08,0.01,12.50
PF03450,0.00,0.00,0.00,
PF03451,0.09,0.27,0.18,66.67
PF03453,0.00,0.00,0.00,
PF03454,0.00,0.00,0.00,
PF03455,0.12,0.15,0.03,20.00
PF03456,0.31,0.33,0.02,6.06
PF03462,0.11,0.13,0.02,15.38
PF03463,0.00,0.00,0.00,
PF03464,0.07,0.07,0.00,0.00
PF03465,0.15,0.15,0.00,0.00
PF03467,0.00,0.01,0.01,100.00
PF03473,0.20,0.14,-0.06,-42.86
PF03474,0.04,0.03,-0.01,-33.33
PF03476,0.05,0.04,-0.01,-25.00
PF03477,0.00,0.00,0.00,
PF03483,0.00,0.00,0.00,
PF03484,0.00,0.00,0.00,
PF03485,0.00,0.00,0.00,
PF03487,0.00,0.00,0.00,
PF03489,0.05,0.06,0.01,16.67
PF03491,0.00,0.00,0.00,
PF03493,0.04,0.04,0.00,0.00
PF03494,0.00,0.00,0.00,
PF03501,0.03,0.03,0.00,0.00
PF03508,0.00,0.00,0.00,
PF03509,0.00,0.00,0.00,
PF03511,0.00,0.00,0.00,
PF03516,0.05,0.09,0.04,44.44
PF03517,0.00,0.00,0.00,
PF03520,0.19,0.23,0.04,17.39
PF03521,0.48,0.47,-0.01,-2.13
PF03522,0.62,0.64,0.02,3.13
PF03523,0.00,0.00,0.00,
PF03528,0.35,0.34,-0.01,-2.94
PF03529,0.15,0.15,0.00,0.00
PF03530,0.03,0.04,0.01,25.00
PF03531,0.00,0.00,0.00,
PF03533,0.00,0.00,0.00,
PF03535,0.41,0.40,-0.01,-2.50
PF03540,0.00,0.00,0.00,
PF03542,0.00,0.00,0.00,
PF03546,0.45,0.63,0.18,28.57
PF03556,0.08,0.08,0.00,0.00
PF03561,0.14,0.17,0.03,17.65
PF03567,0.25,0.30,0.05,16.67
PF03568,0.00,0.50,0.50,100.00
PF03571,0.00,0.00,0.00,
PF03572,0.10,0.11,0.01,9.09
PF03577,0.17,0.24,0.07,29.17
PF03587,0.00,0.00,0.00,
PF03600,0.00,0.00,0.00,
PF03604,0.00,0.00,0.00,
PF03607,0.13,0.13,0.00,0.00
PF03615,0.00,0.00,0.00,
PF03619,0.04,0.04,0.00,0.00
PF03623,0.00,0.01,0.01,100.00
PF03629,0.00,0.00,0.00,
PF03630,0.03,0.03,0.00,0.00
PF03632,0.00,0.00,0.00,
PF03635,0.00,0.00,0.00,
PF03637,0.04,0.07,0.03,42.86
PF03638,0.05,0.06,0.01,16.67
PF03643,0.11,0.13,0.02,15.38
PF03644,0.00,0.00,0.00,
PF03645,0.04,0.05,0.01,20.00
PF03647,0.17,0.39,0.22,56.41
PF03650,0.13,0.14,0.01,7.14
PF03656,0.00,0.00,0.00,
PF03657,0.00,0.00,0.00,
PF03660,0.00,0.00,0.00,
PF03661,0.00,0.00,0.00,
PF03662,0.07,0.07,0.00,0.00
PF03665,0.03,0.04,0.01,25.00
PF03666,0.00,0.50,0.50,100.00
PF03669,0.00,0.00,0.00,
PF03670,0.00,0.00,0.00,
PF03671,0.00,0.00,0.00,
PF03676,0.00,0.00,0.00,
PF03690,0.00,0.00,0.00,
PF03694,0.00,0.00,0.00,
PF03700,0.12,0.12,0.00,0.00
PF03712,0.11,0.12,0.01,8.33
PF03715,0.00,0.00,0.00,
PF03719,0.04,0.03,-0.01,-33.33
PF03720,0.00,0.00,0.00,
PF03721,0.00,0.00,0.00,
PF03725,0.08,0.11,0.03,27.27
PF03726,0.00,0.00,0.00,
PF03727,0.02,0.02,0.00,0.00
PF03730,0.05,0.05,0.00,0.00
PF03731,0.09,0.09,0.00,0.00
PF03735,0.00,0.00,0.00,
PF03736,0.31,0.31,0.00,0.00
PF03747,0.13,0.13,0.00,0.00
PF03762,0.00,0.00,0.00,
PF03764,0.11,0.11,0.00,0.00
PF03765,0.51,0.41,-0.10,-24.39
PF03770,0.35,0.34,-0.01,-2.94
PF03781,0.04,0.05,0.01,20.00
PF03782,0.15,0.15,0.00,0.00
PF03792,0.00,0.00,0.00,
PF03798,0.27,0.27,0.00,0.00
PF03800,0.00,0.00,0.00,
PF03801,0.00,0.00,0.00,
PF03803,0.03,0.03,0.00,0.00
PF03807,0.11,0.08,-0.03,-37.50
PF03810,0.21,0.24,0.03,12.50
PF03813,0.00,0.00,0.00,
PF03815,0.21,0.25,0.04,16.00
PF03820,0.03,0.05,0.02,40.00
PF03821,0.54,0.54,0.00,0.00
PF03823,0.00,0.00,0.00,
PF03826,0.15,0.14,-0.01,-7.14
PF03827,0.00,0.00,0.00,
PF03828,0.16,0.21,0.05,23.81
PF03832,0.08,0.09,0.01,11.11
PF03834,0.00,0.00,0.00,
PF03835,0.00,0.00,0.00,
PF03836,0.06,0.05,-0.01,-20.00
PF03839,0.00,0.00,0.00,
PF03847,0.00,0.00,0.00,
PF03849,0.00,0.00,0.00,
PF03850,0.00,0.00,0.00,
PF03853,0.08,0.08,0.00,0.00
PF03859,0.01,0.01,0.00,0.00
PF03868,0.00,0.00,0.00,
PF03870,0.00,0.00,0.00,
PF03871,0.00,0.00,0.00,
PF03874,0.04,0.05,0.01,20.00
PF03875,0.00,0.00,0.00,
PF03876,0.04,0.03,-0.01,-33.33
PF03878,0.01,0.01,0.00,0.00
PF03881,0.03,0.03,0.00,0.00
PF03896,0.00,0.00,0.00,
PF03900,0.00,0.00,0.00,
PF03901,0.21,0.20,-0.01,-5.00
PF03908,0.00,0.00,0.00,
PF03909,0.09,0.06,-0.03,-50.00
PF03911,0.00,0.00,0.00,
PF03914,0.25,0.24,-0.01,-4.17
PF03915,0.04,0.10,0.06,60.00
PF03917,0.50,0.00,-0.50,
PF03919,0.00,0.00,0.00,
PF03920,0.01,0.05,0.04,80.00
PF03921,0.09,0.07,-0.02,-28.57
PF03931,0.07,0.04,-0.03,-75.00
PF03932,0.00,0.00,0.00,
PF03937,0.00,0.00,0.00,
PF03939,0.00,0.00,0.00,
PF03941,0.00,0.00,0.00,
PF03942,0.15,0.15,0.00,0.00
PF03943,0.00,0.00,0.00,
PF03946,0.02,0.03,0.01,33.33
PF03947,0.15,0.08,-0.07,-87.50
PF03949,0.01,0.01,0.00,0.00
PF03950,0.05,0.08,0.03,37.50
PF03951,0.00,0.00,0.00,
PF03952,0.01,0.01,0.00,0.00
PF03953,0.08,0.07,-0.01,-14.29
PF03954,0.14,0.15,0.01,6.67
PF03957,0.20,0.20,0.00,0.00
PF03959,0.00,0.00,0.00,
PF03962,0.00,0.00,0.00,
PF03966,0.33,0.33,0.00,0.00
PF03969,0.00,0.00,0.00,
PF03972,0.00,0.00,0.00,
PF03980,0.00,0.00,0.00,
PF03981,0.00,0.00,0.00,
PF03982,0.03,0.03,0.00,0.00
PF03985,0.00,0.00,0.00,
PF03987,0.22,0.19,-0.03,-15.79
PF03992,0.04,0.03,-0.01,-33.33
PF03997,0.00,0.00,0.00,
PF03998,0.00,0.00,0.00,
PF03999,0.00,0.00,0.00,
PF04000,0.10,0.12,0.02,16.67
PF04003,0.06,0.05,-0.01,-20.00
PF04004,0.00,0.00,0.00,
PF04005,0.00,0.00,0.00,
PF04006,0.00,0.00,0.00,
PF04031,0.00,0.00,0.00,
PF04032,0.00,0.00,0.00,
PF04034,0.00,0.00,0.00,
PF04037,0.00,0.00,0.00,
PF04042,0.09,0.09,0.00,0.00
PF04045,0.00,0.00,0.00,
PF04046,0.09,0.07,-0.02,-28.57
PF04048,0.00,0.00,0.00,
PF04049,0.00,0.00,0.00,
PF04050,0.00,0.00,0.00,
PF04051,0.16,0.16,0.00,0.00
PF04053,0.11,0.08,-0.03,-37.50
PF04054,0.00,0.00,0.00,
PF04055,0.36,0.48,0.12,25.00
PF04056,0.00,0.00,0.00,
PF04057,0.00,0.00,0.00,
PF04061,0.00,0.00,0.00,
PF04062,0.00,0.00,0.00,
PF04063,0.00,0.00,0.00,
PF04064,0.00,0.00,0.00,
PF04065,0.00,0.00,0.00,
PF04068,0.09,0.09,0.00,0.00
PF04072,0.08,0.05,-0.03,-60.00
PF04073,0.00,0.00,0.00,
PF04078,0.00,0.00,0.00,
PF04080,0.00,0.00,0.00,
PF04081,0.00,0.00,0.00,
PF04083,0.00,0.00,0.00,
PF04084,0.00,0.00,0.00,
PF04086,0.00,0.00,0.00,
PF04088,0.00,0.00,0.00,
PF04089,0.20,0.21,0.01,4.76
PF04091,0.00,0.00,0.00,
PF04095,0.00,0.00,0.00,
PF04096,0.00,0.00,0.00,
PF04097,0.00,0.00,0.00,
PF04098,0.00,0.00,0.00,
PF04099,0.21,0.20,-0.01,-5.00
PF04100,0.00,0.00,0.00,
PF04101,0.00,0.00,0.00,
PF04103,0.33,0.46,0.13,28.26
PF04104,0.00,0.00,0.00,
PF04106,0.00,0.00,0.00,
PF04109,0.01,0.01,0.00,0.00
PF04110,0.00,0.00,0.00,
PF04111,0.01,0.01,0.00,0.00
PF04112,0.50,0.48,-0.02,-4.17
PF04113,0.50,0.00,-0.50,
PF04114,0.00,0.00,0.00,
PF04116,0.15,0.16,0.01,6.25
PF04117,0.01,0.04,0.03,75.00
PF04121,0.00,0.00,0.00,
PF04124,0.00,0.00,0.00,
PF04127,0.49,0.45,-0.04,-8.89
PF04129,0.00,0.00,0.00,
PF04130,0.22,0.23,0.01,4.35
PF04133,0.02,0.02,0.00,0.00
PF04135,0.00,0.00,0.00,
PF04136,0.00,0.00,0.00,
PF04137,0.02,0.02,0.00,0.00
PF04139,0.02,0.02,0.00,0.00
PF04140,0.00,0.00,0.00,
PF04142,0.19,0.20,0.01,5.00
PF04144,0.01,0.02,0.01,50.00
PF04145,0.11,0.07,-0.04,-57.14
PF04146,0.05,0.41,0.36,87.80
PF04147,0.00,0.00,0.00,
PF04148,0.00,0.00,0.00,
PF04152,0.00,0.00,0.00,
PF04153,0.06,0.05,-0.01,-20.00
PF04157,0.12,0.15,0.03,20.00
PF04158,0.00,0.00,0.00,
PF04161,0.00,0.00,0.00,
PF04176,0.00,0.00,0.00,
PF04177,0.00,0.00,0.00,
PF04178,0.15,0.16,0.01,6.25
PF04180,0.00,0.50,0.50,100.00
PF04181,0.00,0.00,0.00,
PF04182,0.00,0.00,0.00,
PF04184,0.03,0.35,0.32,91.43
PF04188,0.00,0.00,0.00,
PF04189,0.00,0.00,0.00,
PF04190,0.00,0.00,0.00,
PF04191,0.00,0.00,0.00,
PF04192,0.00,0.00,0.00,
PF04193,0.21,0.21,0.00,0.00
PF04194,0.04,0.03,-0.01,-33.33
PF04201,0.17,0.26,0.09,34.62
PF04209,0.00,0.00,0.00,
PF04212,0.09,0.07,-0.02,-28.57
PF04218,0.14,0.16,0.02,12.50
PF04241,0.00,0.00,0.00,
PF04253,0.04,0.04,0.00,0.00
PF04258,0.13,0.13,0.00,0.00
PF04263,0.00,0.00,0.00,
PF04265,0.00,0.00,0.00,
PF04266,0.00,0.00,0.00,
PF04272,0.00,0.00,0.00,
PF04275,0.00,0.00,0.00,
PF04280,0.04,0.03,-0.01,-33.33
PF04281,0.00,0.00,0.00,
PF04300,0.03,0.04,0.01,25.00
PF04321,0.00,0.00,0.00,
PF04326,0.34,0.40,0.06,15.00
PF04360,0.00,0.00,0.00,
PF04366,0.00,0.00,0.00,
PF04376,0.00,0.00,0.00,
PF04377,0.00,0.00,0.00,
PF04379,0.05,0.05,0.00,0.00
PF04382,0.12,0.19,0.07,36.84
PF04387,0.01,0.02,0.01,50.00
PF04388,0.00,0.00,0.00,
PF04389,0.37,0.45,0.08,17.78
PF04402,0.00,0.00,0.00,
PF04406,0.00,0.00,0.00,
PF04408,0.35,0.54,0.19,35.19
PF04410,0.05,0.08,0.03,37.50
PF04418,0.00,0.00,0.00,
PF04419,0.03,0.04,0.01,25.00
PF04420,0.00,0.00,0.00,
PF04421,0.00,0.00,0.00,
PF04423,0.00,0.00,0.00,
PF04424,0.00,0.01,0.01,100.00
PF04427,0.37,0.36,-0.01,-2.78
PF04430,0.04,0.04,0.00,0.00
PF04433,0.16,0.20,0.04,20.00
PF04434,0.29,0.30,0.01,3.33
PF04437,0.00,0.00,0.00,
PF04438,0.20,0.22,0.02,9.09
PF04440,0.17,0.16,-0.01,-6.25
PF04442,0.00,0.00,0.00,
PF04446,0.00,0.00,0.00,
PF04457,0.00,0.00,0.00,
PF04487,0.47,0.47,0.00,0.00
PF04488,0.07,0.10,0.03,30.00
PF04493,0.00,0.00,0.00,
PF04494,0.03,0.01,-0.02,-200.00
PF04495,0.00,0.23,0.23,100.00
PF04499,0.08,0.54,0.46,85.19
PF04500,0.00,0.00,0.00,
PF04502,0.00,0.00,0.00,
PF04503,0.10,0.29,0.19,65.52
PF04505,0.24,0.24,0.00,0.00
PF04506,0.00,0.00,0.00,
PF04511,0.01,0.02,0.01,50.00
PF04515,0.08,0.08,0.00,0.00
PF04516,0.12,0.11,-0.01,-9.09
PF04538,0.40,0.43,0.03,6.98
PF04547,0.33,0.35,0.02,5.71
PF04548,0.14,0.17,0.03,17.65
PF04549,0.00,0.00,0.00,
PF04553,0.22,0.18,-0.04,-22.22
PF04557,0.00,0.00,0.00,
PF04558,0.00,0.00,0.00,
PF04560,0.09,0.09,0.00,0.00
PF04561,0.21,0.09,-0.12,-133.33
PF04563,0.54,0.06,-0.48,-800.00
PF04564,0.14,0.15,0.01,6.67
PF04565,0.04,0.04,0.00,0.00
PF04566,0.01,0.01,0.00,0.00
PF04567,0.21,0.13,-0.08,-61.54
PF04568,0.00,0.00,0.00,
PF04571,0.00,0.00,0.00,
PF04572,0.05,0.04,-0.01,-25.00
PF04573,0.00,0.00,0.00,
PF04577,0.05,0.18,0.13,72.22
PF04579,0.02,0.02,0.00,0.00
PF04587,0.00,0.00,0.00,
PF04588,0.01,0.03,0.02,66.67
PF04589,0.20,0.20,0.00,0.00
PF04592,0.00,0.00,0.00,
PF04593,0.00,0.00,0.00,
PF04597,0.00,0.00,0.00,
PF04598,0.10,0.15,0.05,33.33
PF04603,0.00,0.00,0.00,
PF04614,0.00,0.00,0.00,
PF04615,0.01,0.07,0.06,85.71
PF04617,0.21,0.22,0.01,4.55
PF04621,0.12,0.12,0.00,0.00
PF04622,0.00,0.00,0.00,
PF04627,0.00,0.00,0.00,
PF04628,0.09,0.10,0.01,10.00
PF04629,0.42,0.41,-0.01,-2.44
PF04636,0.03,0.03,0.00,0.00
PF04641,0.00,0.00,0.00,
PF04643,0.08,0.08,0.00,0.00
PF04644,0.02,0.02,0.00,0.00
PF04652,0.00,0.00,0.00,
PF04658,0.06,0.04,-0.02,-50.00
PF04664,0.01,0.01,0.00,0.00
PF04666,0.03,0.05,0.02,40.00
PF04667,0.09,0.17,0.08,47.06
PF04668,0.00,0.00,0.00,
PF04669,0.00,0.00,0.00,
PF04670,0.10,0.10,0.00,0.00
PF04675,0.12,0.12,0.00,0.00
PF04676,0.08,0.07,-0.01,-14.29
PF04677,0.09,0.09,0.00,0.00
PF04678,0.01,0.00,-0.01,
PF04679,0.15,0.16,0.01,6.25
PF04680,0.00,0.05,0.05,100.00
PF04683,0.00,0.00,0.00,
PF04685,0.00,0.00,0.00,
PF04691,0.00,0.00,0.00,
PF04692,0.06,0.05,-0.01,-20.00
PF04695,0.00,0.00,0.00,
PF04696,0.00,0.00,0.00,
PF04697,0.00,0.00,0.00,
PF04698,0.46,0.46,0.00,0.00
PF04699,0.01,0.01,0.00,0.00
PF04704,0.32,0.34,0.02,5.88
PF04706,0.06,0.06,0.00,0.00
PF04707,0.12,0.12,0.00,0.00
PF04710,0.02,0.02,0.00,0.00
PF04711,0.00,0.00,0.00,
PF04712,0.02,0.02,0.00,0.00
PF04714,0.00,0.00,0.00,
PF04716,0.00,0.00,0.00,
PF04718,0.01,0.01,0.00,0.00
