Pfam_code,HMMER_conservation,FULL_conservation,HMMER_vs_FULL_conservation_diff,HMMER_vs_FULL_conservation_%_improvement
PF03009,0.27,0.27,0.00,0.00
PF03015,0.80,0.80,0.00,0.00
PF03016,0.43,0.44,-0.01,-2.27
PF03020,0.52,0.54,-0.02,-3.70
PF03024,0.40,0.41,-0.01,-2.44
PF03028,0.41,0.38,0.03,7.89
PF03029,0.56,0.56,0.00,0.00
PF03031,0.48,0.46,0.02,4.35
PF03034,0.68,0.68,0.00,0.00
PF03036,0.48,0.47,0.01,2.13
PF03039,,,,
PF03045,0.49,0.48,0.01,2.08
PF03051,,,,
PF03054,,,,
PF03055,0.59,0.59,0.00,0.00
PF03061,0.39,0.37,0.02,5.41
PF03062,0.24,0.21,0.03,14.29
PF03066,0.64,0.64,0.00,0.00
PF03068,0.71,0.71,0.00,0.00
PF03071,0.61,0.60,0.01,1.67
PF03073,0.71,0.70,0.01,1.43
PF03074,,,,
PF03079,,,,
PF03081,,,,
PF03083,0.61,0.61,0.00,0.00
PF03088,,,,
PF03089,,,,
PF03091,,,,
PF03095,,,,
PF03096,0.78,0.78,0.00,0.00
PF03097,0.44,0.41,0.03,7.32
PF03098,0.43,0.42,0.01,2.38
PF03099,,,,
PF03102,,,,
PF03104,0.40,0.30,0.10,33.33
PF03109,0.46,0.39,0.07,17.95
PF03114,0.34,0.34,0.00,0.00
PF03121,,,,
PF03126,,,,
PF03127,0.54,0.54,0.00,0.00
PF03128,0.75,0.75,0.00,0.00
PF03129,0.34,0.30,0.04,13.33
PF03131,0.48,0.46,0.02,4.35
PF03133,0.35,0.31,0.04,12.90
PF03134,0.73,0.73,0.00,0.00
PF03137,0.21,0.44,-0.23,-52.27
PF03142,,,,
PF03143,,,,
PF03144,0.38,0.37,0.01,2.70
PF03145,0.84,0.72,0.12,16.67
PF03146,,,,
PF03147,0.62,0.64,-0.02,-3.13
PF03148,0.50,0.49,0.01,2.04
PF03151,0.36,0.36,0.00,0.00
PF03152,,,,
PF03153,0.40,0.41,-0.01,-2.44
PF03154,0.48,0.49,-0.01,-2.04
PF03155,0.61,0.61,0.00,0.00
PF03159,0.73,0.73,0.00,0.00
PF03160,0.15,0.17,-0.02,-11.76
PF03165,0.41,0.40,0.01,2.50
PF03166,0.58,0.59,-0.01,-1.69
PF03167,0.54,0.54,0.00,0.00
PF03171,0.81,0.78,0.03,3.85
PF03172,0.63,0.63,0.00,0.00
PF03176,,,,
PF03177,0.53,0.54,-0.01,-1.85
PF03178,0.49,0.49,0.00,0.00
PF03179,0.75,0.75,0.00,0.00
PF03184,0.37,0.35,0.02,5.71
PF03185,0.57,0.56,0.01,1.79
PF03188,0.55,0.55,0.00,0.00
PF03189,0.23,0.19,0.04,21.05
PF03190,,,,
PF03194,0.72,0.67,0.05,7.46
PF03199,,,,
PF03200,,,,
PF03208,0.56,0.54,0.02,3.70
PF03215,,,,
PF03221,0.40,0.40,0.00,0.00
PF03223,0.77,0.77,0.00,0.00
PF03224,,,,
PF03226,0.47,0.42,0.05,11.90
PF03227,,,,
PF03232,,,,
PF03234,,,,
PF03247,0.70,0.69,0.01,1.45
PF03248,,,,
PF03250,0.55,0.45,0.10,22.22
PF03253,0.83,0.83,0.00,0.00
PF03256,0.35,0.33,0.02,6.06
PF03259,0.62,0.62,0.00,0.00
PF03261,0.85,0.76,0.09,11.84
PF03265,0.69,0.69,0.00,0.00
PF03271,0.83,0.83,0.00,0.00
PF03281,0.43,0.40,0.03,7.50
PF03283,,,,
PF03285,0.34,0.35,-0.01,-2.86
PF03291,,,,
PF03297,,,,
PF03298,0.66,0.67,-0.01,-1.49
PF03299,0.88,0.88,0.00,0.00
PF03301,,,,
PF03308,,,,
PF03311,0.52,0.45,0.07,15.56
PF03328,,,,
PF03332,0.83,0.83,0.00,0.00
PF03343,,,,
PF03344,,,,
PF03345,,,,
PF03348,0.55,0.55,0.00,0.00
PF03351,0.43,0.43,0.00,0.00
PF03357,0.36,0.33,0.03,9.09
PF03359,0.55,0.47,0.08,17.02
PF03360,0.71,0.71,0.00,0.00
PF03364,0.88,0.88,0.00,0.00
PF03366,0.62,0.63,-0.01,-1.59
PF03367,0.65,0.65,0.00,0.00
PF03368,,,,
PF03370,0.42,0.40,0.02,5.00
PF03371,0.59,0.59,0.00,0.00
PF03372,0.17,0.16,0.01,6.25
PF03378,,,,
PF03381,0.75,0.75,0.00,0.00
PF03388,0.60,0.60,0.00,0.00
PF03398,,,,
PF03399,0.51,0.49,0.02,4.08
PF03402,0.53,0.53,0.00,0.00
PF03403,0.71,0.71,0.00,0.00
PF03404,,,,
PF03414,0.56,0.55,0.01,1.82
PF03416,0.55,0.55,0.00,0.00
PF03435,0.58,0.58,0.00,0.00
PF03439,,,,
PF03441,0.93,0.93,0.00,0.00
PF03446,0.50,0.50,0.00,0.00
PF03450,0.72,0.72,0.00,0.00
PF03451,0.63,0.45,0.18,40.00
PF03453,,,,
PF03454,,,,
PF03455,0.42,0.41,0.01,2.44
PF03456,0.35,0.33,0.02,6.06
PF03462,0.67,0.67,0.00,0.00
PF03463,,,,
PF03464,0.56,0.56,0.00,0.00
PF03465,0.57,0.57,0.00,0.00
PF03467,0.85,0.84,0.01,1.19
PF03473,0.57,0.58,-0.01,-1.72
PF03474,0.75,0.75,0.00,0.00
PF03476,0.64,0.64,0.00,0.00
PF03477,,,,
PF03483,,,,
PF03484,,,,
PF03485,,,,
PF03487,,,,
PF03489,0.47,0.47,0.00,0.00
PF03491,,,,
PF03493,0.59,0.59,0.00,0.00
PF03494,,,,
PF03501,0.85,0.84,0.01,1.19
PF03508,,,,
PF03509,,,,
PF03511,,,,
PF03516,0.67,0.64,0.03,4.69
PF03517,,,,
PF03520,0.55,0.53,0.02,3.77
PF03521,0.44,0.43,0.01,2.33
PF03522,0.23,0.22,0.01,4.55
PF03523,,,,
PF03528,0.57,0.58,-0.01,-1.72
PF03529,0.60,0.60,0.00,0.00
PF03530,0.77,0.76,0.01,1.32
PF03531,,,,
PF03533,,,,
PF03535,0.54,0.55,-0.01,-1.82
PF03540,,,,
PF03542,,,,
PF03546,0.53,0.33,0.20,60.61
PF03556,0.60,0.60,0.00,0.00
PF03561,0.62,0.61,0.01,1.64
PF03567,0.36,0.33,0.03,9.09
PF03568,,0.50,,
PF03571,,,,
PF03572,0.53,0.53,0.00,0.00
PF03577,0.64,0.57,0.07,12.28
PF03587,,,,
PF03600,,,,
PF03604,,,,
PF03607,0.43,0.43,0.00,0.00
PF03615,0.85,0.85,0.00,0.00
PF03619,0.57,0.57,0.00,0.00
PF03623,0.80,0.79,0.01,1.27
PF03629,,,,
PF03630,0.76,0.76,0.00,0.00
PF03632,,,,
PF03635,,,,
PF03637,0.62,0.61,0.01,1.64
PF03638,0.77,0.74,0.03,4.05
PF03643,0.63,0.62,0.01,1.61
PF03644,,,,
PF03645,0.48,0.47,0.01,2.13
PF03647,0.66,0.49,0.17,34.69
PF03650,0.57,0.55,0.02,3.64
PF03656,,,,
PF03657,,,,
PF03660,,,,
PF03661,,,,
PF03662,0.71,0.69,0.02,2.90
PF03665,0.72,0.71,0.01,1.41
PF03666,,0.50,,
PF03669,,,,
PF03670,,,,
PF03671,,,,
PF03676,,,,
PF03690,,,,
PF03694,,,,
PF03700,0.63,0.63,0.00,0.00
PF03712,0.52,0.51,0.01,1.96
PF03715,,,,
PF03719,0.58,0.58,0.00,0.00
PF03720,,,,
PF03721,,,,
PF03725,0.39,0.38,0.01,2.63
PF03726,,,,
PF03727,0.70,0.70,0.00,0.00
PF03730,0.60,0.59,0.01,1.69
PF03731,0.56,0.56,0.00,0.00
PF03735,,,,
PF03736,0.27,0.27,0.00,0.00
PF03747,0.51,0.51,0.00,0.00
PF03762,,,,
PF03764,0.46,0.46,0.00,0.00
PF03765,0.36,0.34,0.02,5.88
PF03770,0.39,0.39,0.00,0.00
PF03781,0.73,0.72,0.01,1.39
PF03782,0.56,0.58,-0.02,-3.45
PF03792,0.91,0.91,0.00,0.00
PF03798,0.29,0.29,0.00,0.00
PF03800,,,,
PF03801,,,,
PF03803,0.71,0.71,0.00,0.00
PF03807,0.45,0.47,-0.02,-4.26
PF03810,0.30,0.29,0.01,3.45
PF03813,,,,
PF03815,0.45,0.41,0.04,9.76
PF03820,0.60,0.59,0.01,1.69
PF03821,0.33,0.32,0.01,3.13
PF03823,,,,
PF03826,0.61,0.59,0.02,3.39
PF03827,,,,
PF03828,0.43,0.41,0.02,4.88
PF03832,0.53,0.52,0.01,1.92
PF03834,,,,
PF03835,,,,
PF03836,0.71,0.71,0.00,0.00
PF03839,,,,
PF03847,,,,
PF03849,,,,
PF03850,,,,
PF03853,0.56,0.56,0.00,0.00
PF03859,0.95,0.94,0.01,1.06
PF03868,,,,
PF03870,,,,
PF03871,,,,
PF03874,0.62,0.62,0.00,0.00
PF03875,,,,
PF03876,0.59,0.58,0.01,1.72
PF03878,0.79,0.79,0.00,0.00
PF03881,0.80,0.79,0.01,1.27
PF03896,,,,
PF03900,,,,
PF03901,0.40,0.39,0.01,2.56
PF03908,,,,
PF03909,0.46,0.46,0.00,0.00
PF03911,,,,
PF03914,0.47,0.47,0.00,0.00
PF03915,0.76,0.69,0.07,10.14
PF03917,0.50,,,
PF03919,,,,
PF03920,0.90,0.87,0.03,3.45
PF03921,0.51,0.52,-0.01,-1.92
PF03931,0.67,0.67,0.00,0.00
PF03932,,,,
PF03937,,,,
PF03939,,,,
PF03941,,,,
PF03942,0.57,0.57,0.00,0.00
PF03943,0.86,0.86,0.00,0.00
PF03946,0.60,0.60,0.00,0.00
PF03947,0.59,0.61,-0.02,-3.28
PF03949,0.76,0.76,0.00,0.00
PF03950,0.61,0.60,0.01,1.67
PF03951,,,,
PF03952,0.90,0.89,0.01,1.12
PF03953,0.57,0.58,-0.01,-1.72
PF03954,0.62,0.62,0.00,0.00
PF03957,0.57,0.57,0.00,0.00
PF03959,,,,
PF03962,,,,
PF03966,0.54,0.54,0.00,0.00
PF03969,,,,
PF03972,,,,
PF03980,,,,
PF03981,,,,
PF03982,0.64,0.64,0.00,0.00
PF03985,,,,
PF03987,0.55,0.56,-0.01,-1.79
PF03992,0.63,0.63,0.00,0.00
PF03997,,,,
PF03998,,,,
PF03999,,,,
PF04000,0.48,0.48,0.00,0.00
PF04003,0.46,0.46,0.00,0.00
PF04004,,,,
PF04005,0.74,0.74,0.00,0.00
PF04006,,,,
PF04031,,,,
PF04032,,,,
PF04034,,,,
PF04037,,,,
PF04042,0.46,0.46,0.00,0.00
PF04045,,,,
PF04046,0.66,0.66,0.00,0.00
PF04048,,,,
PF04049,,,,
PF04050,,,,
PF04051,0.46,0.45,0.01,2.22
PF04053,0.58,0.59,-0.01,-1.69
PF04054,,,,
PF04055,0.27,0.23,0.04,17.39
PF04056,0.99,0.99,0.00,0.00
PF04057,,,,
PF04061,0.90,0.90,0.00,0.00
PF04062,,,,
PF04063,,,,
PF04064,,,,
PF04065,,,,
PF04068,0.60,0.59,0.01,1.69
PF04072,0.65,0.66,-0.01,-1.52
PF04073,,,,
PF04078,,,,
PF04080,,,,
PF04081,,,,
PF04083,,,,
PF04084,,,,
PF04086,,,,
PF04088,,,,
PF04089,0.33,0.33,0.00,0.00
PF04091,0.87,0.88,-0.01,-1.14
PF04095,,,,
PF04096,,,,
PF04097,,,,
PF04098,,,,
PF04099,0.57,0.57,0.00,0.00
PF04100,,,,
PF04101,,,,
PF04103,0.28,0.23,0.05,21.74
PF04104,,,,
PF04106,,,,
PF04109,0.76,0.76,0.00,0.00
PF04110,,,,
PF04111,0.82,0.82,0.00,0.00
PF04112,0.50,0.50,0.00,0.00
PF04113,0.50,,,
PF04114,,,,
PF04116,0.40,0.40,0.00,0.00
PF04117,0.54,0.53,0.01,1.89
PF04121,,,,
PF04124,,,,
PF04127,0.50,0.50,0.00,0.00
PF04129,,,,
PF04130,0.38,0.38,0.00,0.00
PF04133,0.82,0.81,0.01,1.23
PF04135,,,,
PF04136,,,,
PF04137,0.81,0.81,0.00,0.00
PF04139,0.70,0.70,0.00,0.00
PF04140,,,,
PF04142,0.47,0.47,0.00,0.00
PF04144,0.68,0.67,0.01,1.49
PF04145,0.63,0.63,0.00,0.00
PF04146,0.67,0.43,0.24,55.81
PF04147,,,,
PF04148,,,,
PF04152,,,,
PF04153,0.63,0.62,0.01,1.61
PF04157,0.57,0.57,0.00,0.00
PF04158,,,,
PF04161,,,,
PF04176,,,,
PF04177,,,,
PF04178,0.45,0.44,0.01,2.27
PF04180,,0.50,,
PF04181,,,,
PF04182,,,,
PF04184,0.88,0.58,0.30,51.72
PF04188,,,,
PF04189,,,,
PF04190,,,,
PF04191,,,,
PF04192,,,,
PF04193,0.32,0.32,0.00,0.00
PF04194,0.69,0.69,0.00,0.00
PF04201,0.64,0.57,0.07,12.28
PF04209,,,,
PF04212,0.45,0.45,0.00,0.00
PF04218,0.44,0.42,0.02,4.76
PF04241,,,,
PF04253,0.64,0.64,0.00,0.00
PF04258,0.58,0.57,0.01,1.75
PF04263,,,,
PF04265,,,,
PF04266,,,,
PF04272,,,,
PF04275,,,,
PF04280,0.56,0.56,0.00,0.00
PF04281,,,,
PF04300,0.61,0.60,0.01,1.67
PF04321,,,,
PF04326,0.41,0.35,0.06,17.14
PF04360,,,,
PF04366,,,,
PF04376,,,,
PF04377,,,,
PF04379,0.66,0.65,0.01,1.54
PF04382,0.63,0.59,0.04,6.78
PF04387,0.59,0.59,0.00,0.00
PF04388,,,,
PF04389,0.30,0.27,0.03,11.11
PF04402,,,,
PF04406,,,,
PF04408,0.38,0.22,0.16,72.73
PF04410,0.57,0.56,0.01,1.79
PF04418,,,,
PF04419,0.68,0.68,0.00,0.00
PF04420,,,,
PF04421,,,,
PF04423,,,,
PF04424,0.85,0.83,0.02,2.41
PF04427,0.35,0.35,0.00,0.00
PF04430,0.59,0.59,0.00,0.00
PF04433,0.48,0.45,0.03,6.67
PF04434,0.44,0.42,0.02,4.76
PF04437,,,,
PF04438,0.47,0.44,0.03,6.82
PF04440,0.52,0.52,0.00,0.00
PF04442,,,,
PF04446,,,,
PF04457,,,,
PF04487,0.43,0.41,0.02,4.88
PF04488,0.69,0.66,0.03,4.55
PF04493,,,,
PF04494,0.64,0.65,-0.01,-1.54
PF04495,0.84,0.54,0.30,55.56
PF04499,0.69,0.34,0.35,102.94
PF04500,0.86,0.86,0.00,0.00
PF04502,,,,
PF04503,0.77,0.61,0.16,26.23
PF04505,0.38,0.38,0.00,0.00
PF04506,,,,
PF04511,0.74,0.73,0.01,1.37
PF04515,0.58,0.58,0.00,0.00
PF04516,0.58,0.57,0.01,1.75
PF04538,0.30,0.29,0.01,3.45
PF04547,0.39,0.38,0.01,2.63
PF04548,0.50,0.47,0.03,6.38
PF04549,,,,
PF04553,0.62,0.64,-0.02,-3.13
PF04557,,,,
PF04558,,,,
PF04560,0.62,0.62,0.00,0.00
PF04561,0.46,0.49,-0.03,-6.12
PF04563,0.28,0.49,-0.21,-42.86
PF04564,0.44,0.44,0.00,0.00
PF04565,0.61,0.61,0.00,0.00
PF04566,0.69,0.69,0.00,0.00
PF04567,0.58,0.61,-0.03,-4.92
PF04568,,,,
PF04571,0.86,0.86,0.00,0.00
PF04572,0.67,0.67,0.00,0.00
PF04573,,,,
PF04577,0.64,0.55,0.09,16.36
PF04579,0.89,0.89,0.00,0.00
PF04587,,,,
PF04588,0.67,0.66,0.01,1.52
PF04589,0.57,0.56,0.01,1.79
PF04592,,,,
PF04593,,,,
PF04597,,,,
PF04598,0.44,0.42,0.02,4.76
PF04603,,,,
PF04614,,,,
PF04615,0.91,0.85,0.06,7.06
PF04617,0.50,0.49,0.01,2.04
PF04621,0.64,0.64,0.00,0.00
PF04622,,,,
PF04627,0.96,0.96,0.00,0.00
PF04628,0.70,0.70,0.00,0.00
PF04629,0.41,0.41,0.00,0.00
PF04636,0.76,0.76,0.00,0.00
PF04641,,,,
PF04643,0.58,0.59,-0.01,-1.69
PF04644,0.62,0.62,0.00,0.00
PF04652,,,,
PF04658,0.79,0.81,-0.02,-2.47
PF04664,0.76,0.76,0.00,0.00
PF04666,0.64,0.63,0.01,1.59
PF04667,0.79,0.73,0.06,8.22
PF04668,,,,
PF04669,,,,
PF04670,0.57,0.57,0.00,0.00
PF04675,0.45,0.45,0.00,0.00
PF04676,0.63,0.63,0.00,0.00
PF04677,0.62,0.61,0.01,1.64
PF04678,0.72,0.73,-0.01,-1.37
PF04679,0.51,0.51,0.00,0.00
PF04680,0.94,0.90,0.04,4.44
PF04683,,,,
PF04685,,,,
PF04691,,,,
PF04692,0.64,0.64,0.00,0.00
PF04695,,,,
PF04696,,,,
PF04697,,,,
PF04698,0.52,0.52,0.00,0.00
PF04699,0.84,0.84,0.00,0.00
PF04704,0.55,0.53,0.02,3.77
PF04706,0.58,0.58,0.00,0.00
PF04707,0.47,0.47,0.00,0.00
PF04710,0.85,0.84,0.01,1.19
PF04711,,,,
PF04712,0.81,0.81,0.00,0.00
PF04714,0.96,0.96,0.00,0.00
PF04716,,,,
PF04718,0.93,0.94,-0.01,-1.06
PF04719,,,,
PF04721,,,,
PF04722,,,,
PF04724,,,,
PF04727,0.45,0.45,0.00,0.00
PF04729,0.92,0.92,0.00,0.00
PF04731,0.51,0.51,0.00,0.00
PF04732,0.37,0.37,0.00,0.00
PF04733,,,,
PF04734,,,,
PF04739,0.96,0.97,-0.01,-1.03
PF04749,0.64,0.61,0.03,4.92
PF04750,0.67,0.67,0.00,0.00
PF04752,0.75,0.75,0.00,0.00
PF04756,0.59,0.59,0.00,0.00
PF04757,0.43,0.44,-0.01,-2.27
PF04758,,,,
PF04762,,,,
PF04768,,,,
PF04774,,,,
PF04775,0.79,0.79,0.00,0.00
PF04777,0.58,0.57,0.01,1.75
PF04790,0.59,0.58,0.01,1.72
PF04791,0.27,0.27,0.00,0.00
PF04794,,,,
PF04795,,,,
PF04799,0.80,0.79,0.01,1.27
PF04800,,,,
PF04801,,,,
PF04802,0.80,0.88,-0.08,-9.09
PF04803,0.57,0.57,0.00,0.00
PF04810,0.62,0.61,0.01,1.64
PF04811,0.48,0.48,0.00,0.00
PF04812,0.72,0.72,0.00,0.00
PF04813,,,,
PF04814,0.56,0.56,0.00,0.00
PF04815,0.48,0.48,0.00,0.00
PF04818,0.38,0.37,0.01,2.70
PF04819,0.62,0.62,0.00,0.00
PF04821,,,,
PF04822,,,,
PF04824,0.70,0.69,0.01,1.45
PF04825,0.65,0.64,0.01,1.56
PF04826,0.51,0.50,0.01,2.00
PF04828,0.91,0.88,0.03,3.41
PF04831,0.59,0.59,0.00,0.00
PF04832,0.62,0.63,-0.01,-1.59
PF04836,0.84,0.84,0.00,0.00
PF04840,0.54,0.53,0.01,1.89
PF04841,,,,
PF04845,0.74,0.74,0.00,0.00
PF04847,0.80,0.80,0.00,0.00
PF04849,0.61,0.61,0.00,0.00
PF04851,0.55,0.54,0.01,1.85
PF04855,,,,
PF04856,0.92,0.93,-0.01,-1.08
PF04857,0.19,0.20,-0.01,-5.00
PF04858,,,,
PF04868,0.89,0.88,0.01,1.14
PF04869,,,,
PF04871,,,,
PF04874,,,,
PF04880,0.75,0.75,0.00,0.00
PF04882,,0.33,,
PF04884,,,,
PF04889,,,,
PF04893,0.38,0.39,-0.01,-2.56
PF04900,0.65,0.65,0.00,0.00
PF04901,0.58,0.58,0.00,0.00
PF04902,,,,
PF04904,0.94,0.94,0.00,0.00
PF04905,0.79,0.79,0.00,0.00
PF04906,0.64,0.63,0.01,1.59
PF04908,0.70,0.70,0.00,0.00
PF04909,,,,
PF04910,,,,
PF04912,,,,
PF04916,,,,
PF04921,0.93,0.77,0.16,20.78
PF04922,0.98,0.98,0.00,0.00
PF04923,0.80,0.80,0.00,0.00
PF04925,,,,
PF04926,0.88,0.43,0.45,104.65
PF04928,0.94,0.92,0.02,2.17
PF04930,0.79,0.79,0.00,0.00
PF04931,,,,
PF04934,,,,
PF04935,,,,
PF04938,,,,
PF04939,,,,
PF04949,,,,
PF04950,0.62,0.62,0.00,0.00
PF04952,0.74,0.73,0.01,1.37
PF04959,,,,
PF04960,0.90,0.90,0.00,0.00
PF04961,,,,
PF04968,0.67,0.67,0.00,0.00
PF04969,0.31,0.32,-0.01,-3.13
PF04970,0.47,0.42,0.05,11.90
PF04979,0.78,0.77,0.01,1.30
PF04981,,,,
PF04983,0.54,0.53,0.01,1.89
PF04987,,,,
PF04988,0.63,0.63,0.00,0.00
PF04990,,,,
PF04991,0.73,0.71,0.02,2.82
PF04992,,,,
PF04997,0.46,0.46,0.00,0.00
PF04998,0.28,0.48,-0.20,-41.67
PF05000,0.56,0.56,0.00,0.00
PF05001,0.78,0.51,0.27,52.94
PF05002,0.61,0.60,0.01,1.67
PF05004,0.75,0.74,0.01,1.35
PF05005,,,,
PF05007,,,,
PF05008,0.62,0.62,0.00,0.00
PF05010,0.76,0.76,0.00,0.00
PF05011,,,,
PF05014,,,,
PF05018,0.41,0.41,0.00,0.00
PF05019,,,,
PF05020,,,,
PF05021,,,,
PF05022,,,,
PF05024,,,,
PF05025,,,,
PF05026,,,,
PF05028,,,,
PF05029,,,,
PF05030,0.77,0.77,0.00,0.00
PF05033,0.39,0.39,0.00,0.00
PF05038,,,,
PF05039,0.73,0.71,0.02,2.82
PF05041,0.69,0.68,0.01,1.47
PF05044,0.86,0.86,0.00,0.00
PF05046,,,,
PF05047,0.49,0.48,0.01,2.08
PF05048,,,,
PF05049,0.59,0.58,0.01,1.72
PF05051,,,,
PF05053,0.50,0.50,0.00,0.00
PF05057,0.90,0.90,0.00,0.00
PF05060,,,,
PF05063,0.53,0.53,0.00,0.00
PF05064,0.84,0.83,0.01,1.20
PF05066,0.82,0.82,0.00,0.00
PF05071,0.58,0.57,0.01,1.75
PF05076,,,,
PF05083,,,,
PF05089,,,,
PF05090,,,,
PF05091,,,,
PF05093,0.50,0.50,0.00,0.00
PF05104,0.45,0.61,-0.16,-26.23
PF05110,0.44,0.44,0.00,0.00
PF05111,0.51,0.51,0.00,0.00
PF05118,0.62,0.58,0.04,6.90
PF05127,,,,
PF05129,,,,
PF05131,,,,
PF05132,,,,
PF05147,0.64,0.64,0.00,0.00
PF05148,,,,
PF05153,,,,
PF05154,0.60,0.57,0.03,5.26
PF05158,,,,
PF05160,,,,
PF05161,,,,
PF05168,,,,
PF05172,,,,
PF05175,0.47,0.44,0.03,6.82
PF05177,,,,
PF05178,,,,
PF05179,,,,
PF05180,,,,
PF05181,,,,
PF05182,,,,
PF05184,0.52,0.48,0.04,8.33
PF05185,,,,
PF05186,0.58,0.59,-0.01,-1.69
PF05187,,,,
PF05188,0.37,0.37,0.00,0.00
PF05189,0.60,0.60,0.00,0.00
PF05190,0.36,0.37,-0.01,-2.70
PF05191,0.81,0.81,0.00,0.00
PF05192,0.16,0.34,-0.18,-52.94
PF05193,0.32,0.26,0.06,23.08
PF05195,0.61,0.60,0.01,1.67
PF05196,0.74,0.74,0.00,0.00
PF05197,0.74,0.74,0.00,0.00
PF05198,,,,
PF05199,,,,
PF05205,0.88,0.87,0.01,1.15
PF05206,,,,
PF05207,0.71,0.71,0.00,0.00
PF05208,,,,
PF05210,0.56,0.55,0.01,1.82
PF05216,,,,
PF05219,,,,
PF05221,0.81,0.40,0.41,102.50
PF05222,0.59,0.59,0.00,0.00
PF05224,0.84,0.85,-0.01,-1.18
PF05225,0.67,0.65,0.02,3.08
PF05236,0.80,0.80,0.00,0.00
PF05238,,,,
PF05241,0.49,0.49,0.00,0.00
PF05250,,,,
PF05251,,,,
PF05253,0.51,0.51,0.00,0.00
PF05254,,,,
PF05255,0.84,0.84,0.00,0.00
PF05270,0.62,0.61,0.01,1.64
PF05276,0.73,0.72,0.01,1.39
PF05277,,,,
PF05279,0.61,0.56,0.05,8.93
PF05281,,,,
PF05282,,,,
PF05283,0.47,0.46,0.01,2.17
PF05285,,0.50,,
PF05287,0.33,0.29,0.04,13.79
PF05291,,,,
PF05292,,,,
PF05296,0.49,0.48,0.01,2.08
PF05300,0.62,0.61,0.01,1.64
PF05301,,,,
PF05303,,,,
PF05308,0.52,0.52,0.00,0.00
PF05324,1.00,1.00,0.00,0.00
PF05326,,,,
PF05327,0.32,0.32,0.00,0.00
PF05328,,,,
PF05334,0.76,0.75,0.01,1.33
PF05337,,,,
PF05345,,,,
PF05346,,,,
PF05347,0.37,0.36,0.01,2.78
PF05348,,,,
PF05349,0.53,0.53,0.00,0.00
PF05350,0.77,0.58,0.19,32.76
PF05351,0.65,0.65,0.00,0.00
PF05355,,,,
PF05361,0.55,0.50,0.05,10.00
PF05362,0.71,0.71,0.00,0.00
PF05365,,,,
PF05366,,,,
PF05368,,,,
PF05378,,,,
PF05383,0.57,0.57,0.00,0.00
PF05386,0.87,0.87,0.00,0.00
PF05391,,,,
PF05392,0.85,0.85,0.00,0.00
PF05395,0.49,0.49,0.00,0.00
PF05399,,,,
PF05404,,,,
PF05405,,,,
PF05406,0.63,0.62,0.01,1.61
PF05422,,,,
PF05427,,,,
PF05428,,,,
PF05432,,,,
PF05434,0.79,0.80,-0.01,-1.25
PF05438,,,,
PF05439,,,,
PF05450,,,,
PF05454,,,,
PF05456,0.69,0.69,0.00,0.00
PF05458,,,,
PF05460,,,,
PF05461,0.50,0.48,0.02,4.17
PF05463,0.69,0.68,0.01,1.47
PF05466,,,,
PF05470,0.97,0.97,0.00,0.00
PF05474,0.74,0.56,0.18,32.14
PF05477,,,,
PF05478,0.63,0.63,0.00,0.00
PF05483,,,,
PF05485,0.37,0.29,0.08,27.59
PF05486,,,,
PF05493,0.88,0.88,0.00,0.00
PF05495,,,,
PF05499,,,,
PF05502,0.50,0.50,0.00,0.00
PF05507,0.63,0.63,0.00,0.00
PF05510,0.68,0.43,0.25,58.14
PF05511,,,,
PF05517,0.78,0.78,0.00,0.00
PF05527,0.74,0.74,0.00,0.00
PF05529,0.75,0.74,0.01,1.35
PF05536,,,,
PF05544,,,,
PF05556,0.48,0.48,0.00,0.00
PF05557,,,,
PF05571,,,,
PF05572,0.66,0.75,-0.09,-12.00
PF05577,0.57,0.57,0.00,0.00
PF05586,0.77,0.76,0.01,1.32
PF05587,0.64,0.64,0.00,0.00
PF05600,,,,
PF05602,0.63,0.63,0.00,0.00
PF05603,,,,
PF05604,,,,
PF05605,0.48,0.44,0.04,9.09
PF05608,,0.50,,
PF05609,0.81,0.81,0.00,0.00
PF05612,,,,
PF05615,,,,
PF05620,,,,
PF05622,0.71,0.71,0.00,0.00
PF05624,0.80,0.80,0.00,0.00
PF05625,,,,
PF05631,,,,
PF05640,0.75,0.73,0.02,2.74
PF05641,0.92,0.90,0.02,2.22
PF05644,0.53,0.52,0.01,1.92
PF05645,,,,
PF05647,0.75,0.75,0.00,0.00
PF05648,0.54,0.54,0.00,0.00
PF05649,0.51,0.50,0.01,2.00
PF05652,,,,
PF05653,0.58,0.58,0.00,0.00
PF05667,,,,
PF05669,,,,
PF05670,0.60,0.60,0.00,0.00
PF05672,0.61,0.61,0.00,0.00
PF05676,,,,
PF05679,0.36,0.36,0.00,0.00
PF05680,,,,
PF05686,0.61,0.60,0.01,1.67
PF05693,0.87,0.87,0.00,0.00
PF05694,,,,
PF05699,0.31,0.35,-0.04,-11.43
PF05700,,,,
PF05705,,,,
PF05706,,,,
PF05712,0.52,0.50,0.02,4.00
PF05715,0.77,0.77,0.00,0.00
PF05716,0.27,0.27,0.00,0.00
PF05719,0.85,0.84,0.01,1.19
PF05721,0.58,0.58,0.00,0.00
PF05724,,,,
PF05726,,,,
PF05729,0.35,0.34,0.01,2.94
PF05731,0.55,0.55,0.00,0.00
PF05735,0.83,0.83,0.00,0.00
PF05739,0.46,0.43,0.03,6.98
