Pfam_code,HMMER_gaps,SEED_gaps,HMMER_vs_SEED_gaps_diff,HMMER_vs_SEED_gaps_%_improvement
PF16482,0.00,0.00,0.00,
PF16489,0.00,0.00,0.00,
PF16492,0.03,0.00,-0.03,
PF16499,0.00,0.00,0.00,
PF16619,0.00,0.00,0.00,
PF16620,0.00,0.00,0.00,
PF16630,0.00,0.00,0.00,
PF16647,0.00,0.00,0.00,
PF16652,0.00,0.00,0.00,
PF16696,0.00,0.00,0.00,
PF16716,0.00,0.00,0.00,
PF16746,0.00,0.00,0.00,
PF16788,0.00,0.00,0.00,
PF17039,0.00,0.00,0.00,
PF17047,0.00,0.00,0.00,
PF17085,0.00,0.00,0.00,
PF17146,0.00,0.00,0.00,
PF17256,0.00,0.00,0.00,
PF17284,0.05,0.05,0.00,0.00
PF17285,0.00,0.00,0.00,
PF17286,0.00,0.00,0.00,
PF17291,0.00,0.00,0.00,
PF17333,0.00,0.00,0.00,
PF17450,0.00,0.00,0.00,
PF17489,0.00,0.00,0.00,
PF17490,0.00,0.00,0.00,
PF17677,0.00,0.00,0.00,
PF17686,0.00,0.00,0.00,
PF17690,0.00,0.00,0.00,
PF17698,0.00,0.00,0.00,
PF17699,0.00,0.00,0.00,
PF17703,0.00,0.00,0.00,
PF17706,0.00,0.00,0.00,
PF17708,0.13,0.12,-0.01,-8.33
PF17710,0.00,0.00,0.00,
PF17714,0.00,0.00,0.00,
PF17729,0.00,0.00,0.00,
PF17739,0.00,0.00,0.00,
PF17744,0.00,0.00,0.00,
PF17749,0.00,0.00,0.00,
PF17776,0.00,0.00,0.00,
PF17779,0.00,0.00,0.00,
PF17780,0.00,0.00,0.00,
PF17790,0.00,0.00,0.00,
PF17791,0.00,0.00,0.00,
PF17821,0.00,0.00,0.00,
PF17825,0.00,0.00,0.00,
PF17848,0.00,0.00,0.00,
PF17857,0.00,0.00,0.00,
PF17862,0.00,0.00,0.00,
PF17900,0.06,0.05,-0.01,-20.00
PF17927,0.00,0.00,0.00,
PF17949,0.00,0.00,0.00,
PF18111,0.00,0.00,0.00,
PF18114,0.00,0.00,0.00,
PF18122,0.00,0.00,0.00,
PF18139,0.00,0.00,0.00,
PF18201,0.00,0.00,0.00,
PF18256,0.00,0.00,0.00,
PF18366,0.01,0.01,0.00,0.00
PF18727,0.18,0.02,-0.16,-800.00
PF18872,0.00,0.00,0.00,
PF18875,0.00,0.00,0.00,
PF18876,0.00,0.00,0.00,
PF19031,0.13,0.12,-0.01,-8.33
PF19032,0.14,0.16,0.02,12.50
PF19033,0.26,0.25,-0.01,-4.00
PF19036,0.11,0.10,-0.01,-10.00
PF19037,0.28,0.27,-0.01,-3.70
PF19038,0.22,0.21,-0.01,-4.76
PF19046,0.00,0.00,0.00,
PF19047,0.00,0.00,0.00,
PF19088,0.00,0.00,0.00,
PF19236,0.00,0.00,0.00,
PF19273,0.00,0.00,0.00,
PF19317,0.00,0.00,0.00,
PF19326,0.02,0.02,0.00,0.00
PF19336,0.00,0.00,0.00,
PF19729,0.00,0.00,0.00,
PF19743,0.00,0.00,0.00,
PF20166,0.07,0.07,0.00,0.00
PF20168,0.00,0.00,0.00,
PF20258,0.00,0.00,0.00,
PF20259,0.00,0.00,0.00,
PF20266,0.06,0.06,0.00,0.00
PF20433,0.00,0.00,0.00,
PF20443,0.12,0.12,0.00,0.00
PF20491,0.00,0.00,0.00,
PF20510,0.00,0.00,0.00,
PF20511,0.00,0.00,0.00,
PF20512,0.00,0.00,0.00,
PF20514,0.00,0.00,0.00,
PF20518,0.00,0.00,0.00,
PF20519,0.00,0.00,0.00,
PF20626,0.00,0.00,0.00,
PF20634,0.00,0.00,0.00,
PF20665,0.00,0.00,0.00,
PF20666,0.00,0.00,0.00,
PF20691,0.00,0.00,0.00,
PF20692,0.00,0.00,0.00,
PF20721,0.00,0.00,0.00,
PF20770,0.00,0.00,0.00,
PF20801,0.00,0.00,0.00,
PF20805,0.12,0.11,-0.01,-9.09
PF20806,0.14,0.11,-0.03,-27.27
PF20808,0.00,0.00,0.00,
PF20826,0.00,0.00,0.00,
PF20854,0.00,0.00,0.00,
PF20864,0.00,0.00,0.00,
PF20885,0.00,0.00,0.00,
PF20927,0.00,0.00,0.00,
PF20936,0.00,0.00,0.00,
PF20989,0.00,0.00,0.00,
PF20996,0.00,0.00,0.00,
PF21009,0.42,0.00,-0.42,
PF21031,0.00,0.00,0.00,
PF21032,0.00,0.00,0.00,
PF21033,0.00,0.00,0.00,
PF21034,0.00,0.00,0.00,
PF21044,0.00,0.00,0.00,
PF21045,0.00,0.00,0.00,
PF21317,0.00,0.00,0.00,
PF21363,0.00,0.00,0.00,
PF21365,0.01,0.00,-0.01,
PF21399,0.00,0.00,0.00,
PF21530,0.00,0.00,0.00,
PF21711,0.00,0.00,0.00,
PF21771,0.00,0.00,0.00,
