Pfam_code,REC_gaps,FULL_gaps,REC_vs_FULL_gaps_diff,REC_vs_FULL_gaps_%_improvement
PF02517,0.00,0.00,0.00,
PF02518,0.09,0.03,-0.06,-200.00
PF02525,0.06,0.01,-0.05,-500.00
PF02535,0.17,0.25,0.08,32.00
PF02536,0.21,0.19,-0.02,-10.53
PF02538,0.00,0.00,0.00,
PF02540,0.31,0.31,0.00,0.00
PF02544,0.01,0.01,0.00,0.00
PF02545,0.00,0.00,0.00,
PF02567,0.00,0.00,0.00,
PF02574,0.05,0.06,0.01,16.67
PF02578,0.00,0.00,0.00,
PF02580,0.01,0.00,-0.01,
PF02582,0.00,0.00,0.00,
PF02585,0.00,0.00,0.00,
PF02586,0.00,0.00,0.00,
PF02594,0.00,0.00,0.00,
PF02597,0.00,0.00,0.00,
PF02602,0.00,0.00,0.00,
PF02607,0.00,0.00,0.00,
PF02617,0.00,0.01,0.01,100.00
PF02628,0.00,0.00,0.00,
PF02629,0.02,0.02,0.00,0.00
PF02630,0.01,0.01,0.00,0.00
PF02636,0.00,0.00,0.00,
PF02637,0.00,0.00,0.00,
PF02661,0.00,0.00,0.00,
PF02666,0.00,0.00,0.00,
PF02668,0.02,0.03,0.01,33.33
PF02671,0.02,0.01,-0.01,-100.00
PF02676,0.00,0.00,0.00,
PF02678,0.00,0.00,0.00,
PF02686,0.00,0.00,0.00,
PF02690,0.28,0.12,-0.16,-133.33
PF02696,0.00,0.00,0.00,
PF02709,0.01,0.01,0.00,0.00
PF02724,0.00,0.67,0.67,100.00
PF02727,0.00,0.00,0.00,
PF02728,0.02,0.01,-0.01,-100.00
PF02729,0.05,0.05,0.00,0.00
PF02731,0.00,0.00,0.00,
PF02732,0.13,0.18,0.05,27.78
PF02733,0.00,0.00,0.00,
PF02734,0.00,0.00,0.00,
PF02735,0.03,0.06,0.03,50.00
PF02736,0.01,0.01,0.00,0.00
PF02737,0.02,0.01,-0.01,-100.00
PF02738,0.00,0.01,0.01,100.00
PF02740,0.00,0.00,0.00,
PF02744,0.00,0.00,0.00,
PF02746,0.00,0.00,0.00,
PF02747,0.00,0.00,0.00,
PF02749,0.00,0.00,0.00,
PF02750,0.00,0.00,0.00,
PF02751,0.00,0.00,0.00,
PF02752,0.08,0.06,-0.02,-33.33
PF02755,0.08,0.06,-0.02,-33.33
PF02758,0.04,0.03,-0.01,-33.33
PF02759,0.09,0.12,0.03,25.00
PF02760,0.01,0.01,0.00,0.00
PF02761,0.00,0.00,0.00,
PF02762,0.00,0.00,0.00,
PF02765,0.00,0.00,0.00,
PF02769,0.11,0.09,-0.02,-22.22
PF02770,0.04,0.03,-0.01,-33.33
PF02771,0.05,0.03,-0.02,-66.67
PF02772,0.01,0.00,-0.01,
PF02773,0.00,0.00,0.00,
PF02775,0.05,0.03,-0.02,-66.67
PF02776,0.01,0.02,0.01,50.00
PF02777,0.00,0.00,0.00,
PF02778,0.00,0.00,0.00,
PF02779,0.03,0.04,0.01,25.00
PF02780,0.04,0.03,-0.01,-33.33
PF02781,0.06,0.05,-0.01,-20.00
PF02782,0.07,0.06,-0.01,-16.67
PF02784,0.01,0.01,0.00,0.00
PF02785,0.01,0.01,0.00,0.00
PF02786,0.06,0.05,-0.01,-20.00
PF02787,0.01,0.02,0.01,50.00
PF02789,0.00,0.00,0.00,
PF02790,0.00,0.00,0.00,
PF02791,0.07,0.07,0.00,0.00
PF02792,0.00,0.00,0.00,
PF02793,0.09,0.07,-0.02,-28.57
PF02798,0.10,0.08,-0.02,-25.00
PF02799,0.00,0.01,0.01,100.00
PF02800,0.00,0.00,0.00,
PF02801,0.02,0.01,-0.01,-100.00
PF02803,0.01,0.01,0.00,0.00
PF02806,0.08,0.08,0.00,0.00
PF02807,0.01,0.01,0.00,0.00
PF02809,0.09,0.05,-0.04,-80.00
PF02812,0.00,0.00,0.00,
PF02815,0.14,0.13,-0.01,-7.69
PF02816,0.04,0.04,0.00,0.00
PF02817,0.06,0.03,-0.03,-100.00
PF02818,0.01,0.01,0.00,0.00
PF02820,0.04,0.03,-0.01,-33.33
PF02822,0.00,0.00,0.00,
PF02823,0.00,0.00,0.00,
PF02824,0.03,0.02,-0.01,-50.00
PF02825,0.03,0.03,0.00,0.00
PF02826,0.01,0.00,-0.01,
PF02827,0.02,0.00,-0.02,
PF02828,0.08,0.06,-0.02,-33.33
PF02833,0.11,0.02,-0.09,-450.00
PF02836,0.32,0.19,-0.13,-68.42
PF02837,0.32,0.32,0.00,0.00
PF02840,0.00,0.00,0.00,
PF02841,0.14,0.14,0.00,0.00
PF02843,0.00,0.00,0.00,
PF02844,0.00,0.00,0.00,
PF02845,0.06,0.03,-0.03,-100.00
PF02847,0.04,0.04,0.00,0.00
PF02852,0.01,0.00,-0.01,
PF02854,0.07,0.09,0.02,22.22
PF02862,0.31,0.31,0.00,0.00
PF02864,0.04,0.05,0.01,20.00
PF02865,0.02,0.02,0.00,0.00
PF02866,0.08,0.07,-0.01,-14.29
PF02867,0.00,0.00,0.00,
PF02870,0.00,0.00,0.00,
PF02872,0.00,0.00,0.00,
PF02874,0.06,0.05,-0.01,-20.00
PF02877,0.01,0.01,0.00,0.00
PF02878,0.24,0.22,-0.02,-9.09
PF02879,0.05,0.02,-0.03,-150.00
PF02880,0.10,0.02,-0.08,-400.00
PF02881,0.04,0.03,-0.01,-33.33
PF02882,0.10,0.08,-0.02,-25.00
PF02883,0.05,0.04,-0.01,-25.00
PF02885,0.00,0.00,0.00,
PF02886,0.16,0.14,-0.02,-14.29
PF02887,0.01,0.00,-0.01,
PF02888,0.01,0.01,0.00,0.00
PF02889,0.18,0.18,0.00,0.00
PF02891,0.02,0.02,0.00,0.00
PF02892,0.01,0.00,-0.01,
PF02893,0.12,0.09,-0.03,-33.33
PF02897,0.13,0.13,0.00,0.00
PF02898,0.00,0.00,0.00,
PF02902,0.30,0.26,-0.04,-15.38
PF02906,0.00,0.01,0.01,100.00
PF02910,0.00,0.00,0.00,
PF02911,0.05,0.05,0.00,0.00
PF02913,0.04,0.04,0.00,0.00
PF02919,0.00,0.00,0.00,
PF02921,0.00,0.00,0.00,
PF02922,0.00,0.00,0.00,
PF02926,0.20,0.24,0.04,16.67
PF02928,0.04,0.03,-0.01,-33.33
PF02931,0.10,0.11,0.01,9.09
PF02932,0.28,0.35,0.07,20.00
PF02933,0.13,0.13,0.00,0.00
PF02934,0.00,0.00,0.00,
PF02935,0.00,0.00,0.00,
PF02936,0.04,0.04,0.00,0.00
PF02937,0.00,0.00,0.00,
PF02938,0.00,0.00,0.00,
PF02939,0.00,0.00,0.00,
PF02946,0.01,0.01,0.00,0.00
PF02947,0.00,0.00,0.00,
PF02948,0.01,0.01,0.00,0.00
PF02953,0.04,0.03,-0.01,-33.33
PF02961,0.01,0.01,0.00,0.00
PF02965,0.00,0.00,0.00,
PF02966,0.01,0.01,0.00,0.00
PF02969,0.02,0.01,-0.01,-100.00
PF02970,0.00,0.00,0.00,
PF02971,0.00,0.00,0.00,
PF02978,0.00,0.00,0.00,
PF02984,0.15,0.10,-0.05,-50.00
PF02985,0.10,0.08,-0.02,-25.00
PF02988,0.00,0.00,0.00,
PF02990,0.04,0.04,0.00,0.00
PF02991,0.00,0.00,0.00,
PF02994,0.02,0.01,-0.01,-100.00
PF02996,0.05,0.03,-0.02,-66.67
PF03002,0.14,0.06,-0.08,-133.33
PF03006,0.06,0.06,0.00,0.00
PF03009,0.23,0.37,0.14,37.84
PF03015,0.00,0.00,0.00,
PF03016,0.10,0.10,0.00,0.00
PF03020,0.10,0.05,-0.05,-100.00
PF03024,0.13,0.10,-0.03,-30.00
PF03028,0.04,0.03,-0.01,-33.33
PF03029,0.01,0.01,0.00,0.00
PF03031,0.06,0.05,-0.01,-20.00
PF03034,0.00,0.00,0.00,
PF03036,0.13,0.12,-0.01,-8.33
PF03039,0.00,0.00,0.00,
PF03045,0.10,0.09,-0.01,-11.11
PF03051,0.00,0.00,0.00,
PF03054,0.00,0.00,0.00,
PF03055,0.03,0.03,0.00,0.00
PF03061,0.10,0.08,-0.02,-25.00
PF03062,0.19,0.18,-0.01,-5.56
PF03066,0.02,0.01,-0.01,-100.00
PF03068,0.03,0.03,0.00,0.00
PF03071,0.21,0.21,0.00,0.00
PF03073,0.01,0.01,0.00,0.00
PF03074,0.00,0.00,0.00,
PF03079,0.00,0.00,0.00,
PF03081,0.00,0.00,0.00,
PF03083,0.02,0.01,-0.01,-100.00
PF03088,0.00,0.00,0.00,
PF03089,0.00,0.00,0.00,
PF03091,0.00,0.00,0.00,
PF03095,0.00,0.00,0.00,
PF03096,0.00,0.00,0.00,
PF03097,0.14,0.12,-0.02,-16.67
PF03098,0.11,0.11,0.00,0.00
PF03099,0.00,0.00,0.00,
PF03102,0.00,0.00,0.00,
PF03104,0.13,0.25,0.12,48.00
PF03109,0.05,0.17,0.12,70.59
PF03114,0.07,0.07,0.00,0.00
PF03121,0.00,0.00,0.00,
PF03126,0.00,0.00,0.00,
PF03127,0.03,0.02,-0.01,-50.00
PF03128,0.00,0.00,0.00,
PF03129,0.09,0.07,-0.02,-28.57
PF03131,0.06,0.04,-0.02,-50.00
PF03133,0.08,0.08,0.00,0.00
PF03134,0.01,0.01,0.00,0.00
PF03137,0.52,0.03,-0.49,-1633.33
PF03142,0.00,0.00,0.00,
PF03143,0.00,0.00,0.00,
PF03144,0.07,0.07,0.00,0.00
PF03145,0.01,0.07,0.06,85.71
PF03146,0.00,0.00,0.00,
PF03147,0.03,0.00,-0.03,
PF03148,0.14,0.14,0.00,0.00
PF03151,0.12,0.10,-0.02,-20.00
PF03152,0.00,0.00,0.00,
PF03153,0.43,0.42,-0.01,-2.38
PF03154,0.38,0.36,-0.02,-5.56
PF03155,0.06,0.06,0.00,0.00
PF03159,0.03,0.04,0.01,25.00
PF03160,0.28,0.12,-0.16,-133.33
PF03165,0.07,0.07,0.00,0.00
PF03166,0.02,0.03,0.01,33.33
PF03167,0.10,0.10,0.00,0.00
PF03171,0.04,0.05,0.01,20.00
PF03172,0.02,0.01,-0.01,-100.00
PF03176,0.00,0.00,0.00,
PF03177,0.28,0.23,-0.05,-21.74
PF03178,0.05,0.06,0.01,16.67
PF03179,0.01,0.01,0.00,0.00
PF03184,0.11,0.10,-0.01,-10.00
PF03185,0.02,0.02,0.00,0.00
PF03188,0.01,0.01,0.00,0.00
PF03189,0.65,0.70,0.05,7.14
PF03190,0.00,0.00,0.00,
PF03194,0.02,0.02,0.00,0.00
PF03199,0.00,0.00,0.00,
PF03200,0.00,0.00,0.00,
PF03208,0.02,0.03,0.01,33.33
PF03215,0.00,0.00,0.00,
PF03221,0.09,0.07,-0.02,-28.57
PF03223,0.01,0.00,-0.01,
PF03224,0.00,0.00,0.00,
PF03226,0.15,0.13,-0.02,-15.38
PF03227,0.00,0.00,0.00,
PF03232,0.00,0.00,0.00,
PF03234,0.00,0.00,0.00,
PF03247,0.06,0.06,0.00,0.00
PF03248,0.00,0.00,0.00,
PF03250,0.18,0.15,-0.03,-20.00
PF03253,0.00,0.00,0.00,
PF03256,0.35,0.33,-0.02,-6.06
PF03259,0.03,0.03,0.00,0.00
PF03261,0.00,0.01,0.01,100.00
PF03265,0.00,0.01,0.01,100.00
PF03271,0.00,0.00,0.00,
PF03281,0.16,0.19,0.03,15.79
PF03283,0.00,0.00,0.00,
PF03285,0.48,0.43,-0.05,-11.63
PF03291,0.00,0.00,0.00,
PF03297,0.00,0.00,0.00,
PF03298,0.03,0.01,-0.02,-200.00
PF03299,0.01,0.01,0.00,0.00
PF03301,0.00,0.00,0.00,
PF03308,0.00,0.00,0.00,
PF03311,0.20,0.32,0.12,37.50
PF03328,0.00,0.00,0.00,
PF03332,0.01,0.01,0.00,0.00
PF03343,0.00,0.00,0.00,
PF03344,0.00,0.00,0.00,
PF03345,0.00,0.00,0.00,
PF03348,0.06,0.06,0.00,0.00
PF03351,0.08,0.08,0.00,0.00
PF03357,0.05,0.05,0.00,0.00
PF03359,0.13,0.11,-0.02,-18.18
PF03360,0.01,0.02,0.01,50.00
PF03364,0.02,0.01,-0.01,-100.00
PF03366,0.03,0.01,-0.02,-200.00
PF03367,0.03,0.03,0.00,0.00
PF03368,0.00,0.00,0.00,
PF03370,0.07,0.06,-0.01,-16.67
PF03371,0.02,0.04,0.02,50.00
PF03372,0.07,0.13,0.06,46.15
PF03378,0.00,0.00,0.00,
PF03381,0.02,0.03,0.01,33.33
PF03388,0.02,0.02,0.00,0.00
PF03398,0.00,0.00,0.00,
PF03399,0.09,0.09,0.00,0.00
PF03402,0.08,0.07,-0.01,-14.29
PF03403,0.01,0.02,0.01,50.00
PF03404,0.00,0.00,0.00,
PF03414,0.10,0.10,0.00,0.00
PF03416,0.01,0.02,0.01,50.00
PF03435,0.04,0.04,0.00,0.00
PF03439,0.00,0.00,0.00,
PF03441,0.00,0.01,0.01,100.00
PF03446,0.02,0.02,0.00,0.00
PF03450,0.00,0.00,0.00,
PF03451,0.03,0.18,0.15,83.33
PF03453,0.00,0.00,0.00,
PF03454,0.00,0.00,0.00,
PF03455,0.02,0.01,-0.01,-100.00
PF03456,0.06,0.06,0.00,0.00
PF03462,0.09,0.09,0.00,0.00
PF03463,0.00,0.00,0.00,
PF03464,0.04,0.04,0.00,0.00
PF03465,0.04,0.07,0.03,42.86
PF03467,0.00,0.01,0.01,100.00
PF03473,0.08,0.05,-0.03,-60.00
PF03474,0.02,0.01,-0.01,-100.00
PF03476,0.03,0.03,0.00,0.00
PF03477,0.00,0.00,0.00,
PF03483,0.00,0.00,0.00,
PF03484,0.00,0.00,0.00,
PF03485,0.00,0.00,0.00,
PF03487,0.00,0.00,0.00,
PF03489,0.03,0.03,0.00,0.00
PF03491,0.00,0.00,0.00,
PF03493,0.01,0.01,0.00,0.00
PF03494,0.00,0.00,0.00,
PF03501,0.01,0.01,0.00,0.00
PF03508,0.00,0.00,0.00,
PF03509,0.00,0.00,0.00,
PF03511,0.00,0.00,0.00,
PF03516,0.02,0.02,0.00,0.00
PF03517,0.00,0.00,0.00,
PF03520,0.11,0.10,-0.01,-10.00
PF03521,0.47,0.46,-0.01,-2.17
PF03522,0.58,0.58,0.00,0.00
PF03523,0.00,0.00,0.00,
PF03528,0.35,0.34,-0.01,-2.94
PF03529,0.07,0.08,0.01,12.50
PF03530,0.03,0.03,0.00,0.00
PF03531,0.00,0.00,0.00,
PF03533,0.00,0.00,0.00,
PF03535,0.41,0.36,-0.05,-13.89
PF03540,0.00,0.00,0.00,
PF03542,0.00,0.00,0.00,
PF03546,0.45,0.63,0.18,28.57
PF03556,0.04,0.04,0.00,0.00
PF03561,0.04,0.06,0.02,33.33
PF03567,0.10,0.10,0.00,0.00
PF03568,0.00,0.50,0.50,100.00
PF03571,0.00,0.00,0.00,
PF03572,0.04,0.03,-0.01,-33.33
PF03577,0.05,0.11,0.06,54.55
PF03587,0.00,0.00,0.00,
PF03600,0.00,0.00,0.00,
PF03604,0.00,0.00,0.00,
PF03607,0.04,0.04,0.00,0.00
PF03615,0.00,0.00,0.00,
PF03619,0.01,0.01,0.00,0.00
PF03623,0.00,0.00,0.00,
PF03629,0.00,0.00,0.00,
PF03630,0.01,0.01,0.00,0.00
PF03632,0.00,0.00,0.00,
PF03635,0.00,0.00,0.00,
PF03637,0.02,0.02,0.00,0.00
PF03638,0.03,0.04,0.01,25.00
PF03643,0.04,0.04,0.00,0.00
PF03644,0.00,0.00,0.00,
PF03645,0.02,0.02,0.00,0.00
PF03647,0.12,0.10,-0.02,-20.00
PF03650,0.08,0.06,-0.02,-33.33
PF03656,0.00,0.00,0.00,
PF03657,0.00,0.00,0.00,
PF03660,0.00,0.00,0.00,
PF03661,0.00,0.00,0.00,
PF03662,0.05,0.04,-0.01,-25.00
PF03665,0.01,0.02,0.01,50.00
PF03666,0.00,0.50,0.50,100.00
PF03669,0.00,0.00,0.00,
PF03670,0.00,0.00,0.00,
PF03671,0.00,0.00,0.00,
PF03676,0.00,0.00,0.00,
PF03690,0.00,0.00,0.00,
PF03694,0.00,0.00,0.00,
PF03700,0.08,0.06,-0.02,-33.33
PF03712,0.07,0.06,-0.01,-16.67
PF03715,0.00,0.00,0.00,
PF03719,0.01,0.01,0.00,0.00
PF03720,0.00,0.00,0.00,
PF03721,0.00,0.00,0.00,
PF03725,0.03,0.03,0.00,0.00
PF03726,0.00,0.00,0.00,
PF03727,0.01,0.01,0.00,0.00
PF03730,0.03,0.03,0.00,0.00
PF03731,0.03,0.03,0.00,0.00
PF03735,0.00,0.00,0.00,
PF03736,0.03,0.04,0.01,25.00
PF03747,0.02,0.03,0.01,33.33
PF03762,0.00,0.00,0.00,
PF03764,0.06,0.05,-0.01,-20.00
PF03765,0.35,0.31,-0.04,-12.90
PF03770,0.07,0.09,0.02,22.22
PF03781,0.03,0.03,0.00,0.00
PF03782,0.11,0.09,-0.02,-22.22
PF03792,0.00,0.00,0.00,
PF03798,0.05,0.06,0.01,16.67
PF03800,0.00,0.00,0.00,
PF03801,0.00,0.00,0.00,
PF03803,0.01,0.01,0.00,0.00
PF03807,0.06,0.06,0.00,0.00
PF03810,0.09,0.08,-0.01,-12.50
PF03813,0.00,0.00,0.00,
PF03815,0.13,0.11,-0.02,-18.18
PF03820,0.03,0.03,0.00,0.00
PF03821,0.54,0.52,-0.02,-3.85
PF03823,0.00,0.00,0.00,
PF03826,0.08,0.05,-0.03,-60.00
PF03827,0.00,0.00,0.00,
PF03828,0.11,0.13,0.02,15.38
PF03832,0.06,0.05,-0.01,-20.00
PF03834,0.00,0.00,0.00,
PF03835,0.00,0.00,0.00,
PF03836,0.06,0.05,-0.01,-20.00
PF03839,0.00,0.00,0.00,
PF03847,0.00,0.00,0.00,
PF03849,0.00,0.00,0.00,
PF03850,0.00,0.00,0.00,
PF03853,0.05,0.05,0.00,0.00
PF03859,0.01,0.01,0.00,0.00
PF03868,0.00,0.00,0.00,
PF03870,0.00,0.00,0.00,
PF03871,0.00,0.00,0.00,
PF03874,0.04,0.04,0.00,0.00
PF03875,0.00,0.00,0.00,
PF03876,0.03,0.02,-0.01,-50.00
PF03878,0.01,0.01,0.00,0.00
PF03881,0.01,0.01,0.00,0.00
PF03896,0.00,0.00,0.00,
PF03900,0.00,0.00,0.00,
PF03901,0.12,0.10,-0.02,-20.00
PF03908,0.00,0.00,0.00,
PF03909,0.06,0.04,-0.02,-50.00
PF03911,0.00,0.00,0.00,
PF03914,0.08,0.11,0.03,27.27
PF03915,0.01,0.05,0.04,80.00
PF03917,0.50,0.00,-0.50,
PF03919,0.00,0.00,0.00,
PF03920,0.01,0.01,0.00,0.00
PF03921,0.04,0.02,-0.02,-100.00
PF03931,0.04,0.02,-0.02,-100.00
PF03932,0.00,0.00,0.00,
PF03937,0.00,0.00,0.00,
PF03939,0.00,0.00,0.00,
PF03941,0.00,0.00,0.00,
PF03942,0.06,0.08,0.02,25.00
PF03943,0.00,0.00,0.00,
PF03946,0.01,0.02,0.01,50.00
PF03947,0.10,0.04,-0.06,-150.00
PF03949,0.01,0.01,0.00,0.00
PF03950,0.01,0.02,0.01,50.00
PF03951,0.00,0.00,0.00,
PF03952,0.01,0.01,0.00,0.00
PF03953,0.02,0.01,-0.01,-100.00
PF03954,0.05,0.04,-0.01,-25.00
PF03957,0.04,0.04,0.00,0.00
PF03959,0.00,0.00,0.00,
PF03962,0.00,0.00,0.00,
PF03966,0.01,0.21,0.20,95.24
PF03969,0.00,0.00,0.00,
PF03972,0.00,0.00,0.00,
PF03980,0.00,0.00,0.00,
PF03981,0.00,0.00,0.00,
PF03982,0.01,0.01,0.00,0.00
PF03985,0.00,0.00,0.00,
PF03987,0.08,0.07,-0.01,-14.29
PF03992,0.03,0.02,-0.01,-50.00
PF03997,0.00,0.00,0.00,
PF03998,0.00,0.00,0.00,
PF03999,0.00,0.00,0.00,
PF04000,0.06,0.08,0.02,25.00
PF04003,0.04,0.03,-0.01,-33.33
PF04004,0.00,0.00,0.00,
PF04005,0.00,0.00,0.00,
PF04006,0.00,0.00,0.00,
PF04031,0.00,0.00,0.00,
PF04032,0.00,0.00,0.00,
PF04034,0.00,0.00,0.00,
PF04037,0.00,0.00,0.00,
PF04042,0.04,0.04,0.00,0.00
PF04045,0.00,0.00,0.00,
PF04046,0.01,0.00,-0.01,
PF04048,0.00,0.00,0.00,
PF04049,0.00,0.00,0.00,
PF04050,0.00,0.00,0.00,
PF04051,0.09,0.08,-0.01,-12.50
PF04053,0.06,0.05,-0.01,-20.00
PF04054,0.00,0.00,0.00,
PF04055,0.14,0.09,-0.05,-55.56
PF04056,0.00,0.00,0.00,
PF04057,0.00,0.00,0.00,
PF04061,0.00,0.00,0.00,
PF04062,0.00,0.00,0.00,
PF04063,0.00,0.00,0.00,
PF04064,0.00,0.00,0.00,
PF04065,0.00,0.00,0.00,
PF04068,0.09,0.07,-0.02,-28.57
PF04072,0.04,0.02,-0.02,-100.00
PF04073,0.00,0.00,0.00,
PF04078,0.00,0.00,0.00,
PF04080,0.00,0.00,0.00,
PF04081,0.00,0.00,0.00,
PF04083,0.00,0.00,0.00,
PF04084,0.00,0.00,0.00,
PF04086,0.00,0.00,0.00,
PF04088,0.00,0.00,0.00,
PF04089,0.06,0.07,0.01,14.29
PF04091,0.00,0.00,0.00,
PF04095,0.00,0.00,0.00,
PF04096,0.00,0.00,0.00,
PF04097,0.00,0.00,0.00,
PF04098,0.00,0.00,0.00,
PF04099,0.05,0.05,0.00,0.00
PF04100,0.00,0.00,0.00,
PF04101,0.00,0.00,0.00,
PF04103,0.26,0.25,-0.01,-4.00
PF04104,0.00,0.00,0.00,
PF04106,0.00,0.00,0.00,
PF04109,0.00,0.00,0.00,
PF04110,0.00,0.00,0.00,
PF04111,0.01,0.00,-0.01,
PF04112,0.50,0.50,0.00,0.00
PF04113,0.50,0.00,-0.50,
PF04114,0.00,0.00,0.00,
PF04116,0.04,0.04,0.00,0.00
PF04117,0.01,0.02,0.01,50.00
PF04121,0.00,0.00,0.00,
PF04124,0.00,0.00,0.00,
PF04127,0.50,0.50,0.00,0.00
PF04129,0.00,0.00,0.00,
PF04130,0.07,0.07,0.00,0.00
PF04133,0.00,0.00,0.00,
PF04135,0.00,0.00,0.00,
PF04136,0.00,0.00,0.00,
PF04137,0.01,0.01,0.00,0.00
PF04139,0.00,0.00,0.00,
PF04140,0.00,0.00,0.00,
PF04142,0.08,0.08,0.00,0.00
PF04144,0.01,0.02,0.01,50.00
PF04145,0.11,0.05,-0.06,-120.00
PF04146,0.03,0.35,0.32,91.43
PF04147,0.00,0.00,0.00,
PF04148,0.00,0.00,0.00,
PF04152,0.00,0.00,0.00,
PF04153,0.03,0.04,0.01,25.00
PF04157,0.06,0.11,0.05,45.45
PF04158,0.00,0.00,0.00,
PF04161,0.00,0.00,0.00,
PF04176,0.00,0.00,0.00,
PF04177,0.00,0.00,0.00,
PF04178,0.08,0.07,-0.01,-14.29
PF04180,0.00,0.50,0.50,100.00
PF04181,0.00,0.00,0.00,
PF04182,0.00,0.00,0.00,
PF04184,0.01,0.34,0.33,97.06
PF04188,0.00,0.00,0.00,
PF04189,0.00,0.00,0.00,
PF04190,0.00,0.00,0.00,
PF04191,0.00,0.00,0.00,
PF04192,0.00,0.00,0.00,
PF04193,0.11,0.05,-0.06,-120.00
PF04194,0.04,0.03,-0.01,-33.33
PF04201,0.09,0.17,0.08,47.06
PF04209,0.00,0.00,0.00,
PF04212,0.04,0.02,-0.02,-100.00
PF04218,0.08,0.06,-0.02,-33.33
PF04241,0.00,0.00,0.00,
PF04253,0.04,0.03,-0.01,-33.33
PF04258,0.03,0.04,0.01,25.00
PF04263,0.00,0.00,0.00,
PF04265,0.00,0.00,0.00,
PF04266,0.00,0.00,0.00,
PF04272,0.00,0.00,0.00,
PF04275,0.00,0.00,0.00,
PF04280,0.02,0.01,-0.01,-100.00
PF04281,0.00,0.00,0.00,
PF04300,0.00,0.01,0.01,100.00
PF04321,0.00,0.00,0.00,
PF04326,0.16,0.22,0.06,27.27
PF04360,0.00,0.00,0.00,
PF04366,0.00,0.00,0.00,
PF04376,0.00,0.00,0.00,
PF04377,0.00,0.00,0.00,
PF04379,0.02,0.01,-0.01,-100.00
PF04382,0.08,0.07,-0.01,-14.29
PF04387,0.01,0.01,0.00,0.00
PF04388,0.00,0.00,0.00,
PF04389,0.16,0.17,0.01,5.88
PF04402,0.00,0.00,0.00,
PF04406,0.00,0.00,0.00,
PF04408,0.02,0.23,0.21,91.30
PF04410,0.03,0.06,0.03,50.00
PF04418,0.00,0.00,0.00,
PF04419,0.02,0.02,0.00,0.00
PF04420,0.00,0.00,0.00,
PF04421,0.00,0.00,0.00,
PF04423,0.00,0.00,0.00,
PF04424,0.00,0.00,0.00,
PF04427,0.16,0.15,-0.01,-6.67
PF04430,0.01,0.01,0.00,0.00
PF04433,0.12,0.14,0.02,14.29
PF04434,0.15,0.12,-0.03,-25.00
PF04437,0.00,0.00,0.00,
PF04438,0.11,0.06,-0.05,-83.33
PF04440,0.13,0.10,-0.03,-30.00
PF04442,0.00,0.00,0.00,
PF04446,0.00,0.00,0.00,
PF04457,0.00,0.00,0.00,
PF04487,0.42,0.41,-0.01,-2.44
PF04488,0.04,0.07,0.03,42.86
PF04493,0.00,0.00,0.00,
PF04494,0.01,0.00,-0.01,
PF04495,0.00,0.19,0.19,100.00
PF04499,0.02,0.51,0.49,96.08
PF04500,0.00,0.00,0.00,
PF04502,0.00,0.00,0.00,
PF04503,0.10,0.29,0.19,65.52
PF04505,0.05,0.04,-0.01,-25.00
PF04506,0.00,0.00,0.00,
PF04511,0.00,0.00,0.00,
PF04515,0.02,0.02,0.00,0.00
PF04516,0.09,0.08,-0.01,-12.50
PF04538,0.07,0.11,0.04,36.36
PF04547,0.13,0.04,-0.09,-225.00
PF04548,0.04,0.05,0.01,20.00
PF04549,0.00,0.00,0.00,
PF04553,0.12,0.10,-0.02,-20.00
PF04557,0.00,0.00,0.00,
PF04558,0.00,0.00,0.00,
PF04560,0.01,0.01,0.00,0.00
PF04561,0.08,0.03,-0.05,-166.67
PF04563,0.52,0.04,-0.48,-1200.00
PF04564,0.06,0.06,0.00,0.00
PF04565,0.04,0.04,0.00,0.00
PF04566,0.00,0.00,0.00,
PF04567,0.19,0.10,-0.09,-90.00
PF04568,0.00,0.00,0.00,
PF04571,0.00,0.00,0.00,
PF04572,0.03,0.03,0.00,0.00
PF04573,0.00,0.00,0.00,
PF04577,0.04,0.14,0.10,71.43
PF04579,0.02,0.01,-0.01,-100.00
PF04587,0.00,0.00,0.00,
PF04588,0.00,0.00,0.00,
PF04589,0.16,0.14,-0.02,-14.29
PF04592,0.00,0.00,0.00,
PF04593,0.00,0.00,0.00,
PF04597,0.00,0.00,0.00,
PF04598,0.04,0.05,0.01,20.00
PF04603,0.00,0.00,0.00,
PF04614,0.00,0.00,0.00,
PF04615,0.01,0.05,0.04,80.00
PF04617,0.07,0.14,0.07,50.00
PF04621,0.06,0.05,-0.01,-20.00
PF04622,0.00,0.00,0.00,
PF04627,0.00,0.00,0.00,
PF04628,0.04,0.05,0.01,20.00
PF04629,0.39,0.40,0.01,2.50
PF04636,0.01,0.01,0.00,0.00
PF04641,0.00,0.00,0.00,
PF04643,0.07,0.06,-0.01,-16.67
PF04644,0.02,0.02,0.00,0.00
PF04652,0.00,0.00,0.00,
PF04658,0.00,0.00,0.00,
PF04664,0.01,0.00,-0.01,
PF04666,0.03,0.02,-0.01,-50.00
PF04667,0.08,0.07,-0.01,-14.29
PF04668,0.00,0.00,0.00,
PF04669,0.00,0.00,0.00,
PF04670,0.02,0.02,0.00,0.00
PF04675,0.03,0.03,0.00,0.00
PF04676,0.05,0.05,0.00,0.00
PF04677,0.07,0.05,-0.02,-40.00
