Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,FULL_conservation,FULL_blosum,FULL_gaps
PF09049,1.00,,0.00,1.00,,0.00
PF09050,1.00,,0.00,1.00,,0.00
PF09051,1.00,,0.00,1.00,,0.00
PF09057,1.00,,0.00,1.00,,0.00
PF09058,1.00,,0.00,1.00,,0.00
PF09060,1.00,,0.00,1.00,,0.00
PF09066,0.66,1.94,0.04,0.66,1.92,0.04
PF09067,0.46,1.15,0.11,0.47,1.13,0.09
PF09068,0.56,1.83,0.04,0.56,1.82,0.04
PF09069,0.62,2.32,0.02,0.62,2.31,0.02
PF09070,1.00,,0.00,1.00,,0.00
PF09072,1.00,,0.00,1.00,,0.00
PF09073,1.00,,0.00,1.00,,0.00
PF09079,0.57,0.6,0.02,0.58,0.69,0.00
PF09085,1.00,,0.00,1.00,,0.00
PF09088,1.00,,0.00,1.00,,0.00
PF09090,1.00,,0.00,1.00,,0.00
PF09103,1.00,,0.00,1.00,,0.00
PF09104,1.00,,0.00,1.00,,0.00
PF09110,0.93,4.51,0.00,0.93,4.53,0.01
PF09111,0.94,4.82,0.00,0.94,4.82,0.00
PF09121,1.00,,0.00,1.00,,0.00
PF09127,0.52,1.31,0.02,0.52,1.28,0.02
PF09128,0.62,1.81,0.02,0.62,1.8,0.02
PF09133,1.00,,0.00,1.00,,0.00
PF09138,1.00,,0.00,1.00,,0.00
PF09139,1.00,,0.00,1.00,,0.00
PF09141,0.88,3.89,0.00,0.88,3.89,0.00
PF09162,0.79,3.61,0.00,0.79,3.61,0.00
PF09164,1.00,,0.00,1.00,,0.00
PF09165,0.99,4.78,0.01,0.99,4.78,0.01
PF09166,1.00,,0.00,1.00,,0.00
PF09169,1.00,,0.00,1.00,,0.00
PF09170,1.00,,0.00,1.00,,0.00
PF09172,1.00,,0.00,1.00,,0.00
PF09173,1.00,4.98,0.00,1.00,4.98,0.00
PF09174,1.00,,0.00,1.00,,0.00
PF09177,0.85,3.7,0.00,0.85,3.7,0.00
PF09180,1.00,,0.00,1.00,,0.00
PF09184,1.00,,0.00,1.00,,0.00
PF09191,1.00,,0.00,1.00,,0.00
PF09193,1.00,,0.00,1.00,,0.00
PF09202,1.00,,0.00,1.00,,0.00
PF09229,0.75,2.72,0.02,0.75,2.75,0.02
PF09230,1.00,,0.00,1.00,,0.00
PF09236,1.00,,0.00,1.00,,0.00
PF09238,1.00,,0.00,1.00,,0.00
PF09240,0.43,0.87,0.04,0.44,0.84,0.03
PF09243,1.00,,0.00,1.00,,0.00
PF09247,0.91,4.36,0.02,0.96,4.77,0.00
PF09256,1.00,,0.00,1.00,,0.00
PF09257,1.00,,0.00,1.00,,0.00
PF09258,0.59,1.93,0.01,0.59,1.93,0.01
PF09261,0.51,1.08,0.03,0.51,1.04,0.02
PF09262,1.00,,0.00,1.00,,0.00
PF09263,1.00,,0.00,1.00,,0.00
PF09268,0.88,3.96,0.00,0.88,3.96,0.00
PF09270,0.77,3.11,0.00,0.77,3.11,0.00
PF09271,0.77,2.73,0.00,0.77,2.75,0.01
PF09272,1.00,,0.00,1.00,,0.00
PF09273,0.49,0.35,0.06,0.49,0.36,0.06
PF09279,0.51,1.72,0.07,0.51,1.69,0.06
PF09280,0.93,4.55,0.00,0.93,4.55,0.00
PF09282,1.00,,0.00,1.00,,0.00
PF09286,1.00,,0.00,1.00,,0.00
PF09289,0.58,2.6,0.01,0.58,2.6,0.01
PF09291,1.00,5.15,0.00,1.00,5.22,0.00
PF09292,1.00,,0.00,1.00,,0.00
PF09294,0.36,0.71,0.10,0.37,0.7,0.08
PF09296,0.62,0.96,0.02,0.61,0.85,0.03
PF09297,0.64,1.8,0.11,0.64,1.69,0.09
PF09298,1.00,,0.00,1.00,,0.00
PF09302,1.00,,0.00,1.00,,0.00
PF09303,1.00,,0.00,1.00,,0.00
PF09305,0.65,2.75,0.14,0.68,2.73,0.08
PF09307,1.00,,0.00,1.00,,0.00
PF09309,1.00,,0.00,1.00,,0.00
PF09310,1.00,,0.00,1.00,,0.00
PF09311,0.60,1.31,0.18,0.44,1.64,0.39
PF09316,0.67,2.29,0.04,0.67,2.25,0.03
PF09320,0.66,2.42,0.00,0.66,2.47,0.01
PF09324,0.60,1.86,0.10,0.60,1.76,0.08
PF09325,0.52,1.69,0.13,0.46,1.71,0.22
PF09326,1.00,,0.00,1.00,,0.00
PF09329,1.00,,0.00,1.00,,0.00
PF09332,1.00,,0.00,1.00,,0.00
PF09334,0.62,1.03,0.04,0.62,1.01,0.04
PF09335,0.53,1.04,0.04,0.53,1.09,0.03
PF09336,0.45,1.97,0.31,0.45,1.85,0.28
PF09340,1.00,,0.00,1.00,,0.00
PF09341,0.61,2.44,0.17,0.61,2.23,0.15
PF09346,1.00,,0.00,1.00,,0.00
PF09349,1.00,,0.00,1.00,,0.00
PF09350,1.00,,0.00,1.00,,0.00
PF09354,0.78,3.32,0.02,0.78,3.32,0.04
PF09358,0.56,1.35,0.05,0.58,1.38,0.04
PF09360,0.49,3.31,0.37,0.53,2.87,0.23
PF09368,1.00,,0.00,1.00,,0.00
PF09371,1.00,,0.00,1.00,,0.00
PF09377,1.00,,0.00,1.00,,0.00
PF09379,0.47,1.56,0.03,0.47,1.54,0.02
PF09380,0.42,1.41,0.07,0.42,1.39,0.07
PF09382,0.57,0.38,0.08,0.57,0.24,0.09
PF09384,1.00,,0.00,1.00,,0.00
PF09387,1.00,,0.00,1.00,,0.00
PF09396,1.00,,0.00,1.00,,0.00
PF09398,0.59,0.71,0.12,0.60,0.72,0.10
PF09402,0.67,2.17,0.12,0.68,1.92,0.05
PF09404,1.00,,0.00,1.00,,0.00
PF09405,1.00,,0.00,1.00,,0.00
PF09409,0.50,0.8,0.06,0.50,0.86,0.04
PF09412,1.00,,0.00,1.00,,0.00
PF09415,1.00,,0.00,1.00,,0.00
PF09416,1.00,,0.00,1.00,,0.00
PF09420,1.00,,0.00,0.50,,0.50
PF09422,0.39,1.25,0.36,0.36,1.36,0.44
PF09429,1.00,,0.00,1.00,,0.00
PF09430,1.00,,0.00,1.00,,0.00
PF09431,1.00,,0.00,1.00,,0.00
PF09439,1.00,,0.00,1.00,,0.00
PF09440,1.00,,0.00,1.00,,0.00
PF09443,0.69,3.63,0.00,0.69,3.63,0.00
PF09445,1.00,,0.00,1.00,,0.00
PF09446,1.00,,0.00,1.00,,0.00
PF09454,1.00,,0.00,1.00,,0.00
PF09457,0.59,2.04,0.00,0.59,2.04,0.00
PF09465,1.00,,0.00,1.00,,0.00
PF09468,1.00,,0.00,1.00,,0.00
PF09469,0.76,2.73,0.00,0.76,2.73,0.00
PF09470,1.00,,0.00,1.00,,0.00
PF09494,1.00,,0.00,1.00,,0.00
PF09495,1.00,,0.00,1.00,,0.00
PF09496,1.00,,0.00,1.00,,0.00
PF09497,0.88,4.04,0.00,0.88,4.04,0.00
PF09507,1.00,,0.00,1.00,,0.00
PF09514,0.79,4.21,0.10,0.81,4.18,0.07
PF09531,1.00,,0.00,1.00,,0.00
PF09532,0.59,1.28,0.06,0.59,1.25,0.06
PF09596,0.66,2.51,0.02,0.66,2.5,0.02
PF09606,1.00,,0.00,1.00,,0.00
PF09607,1.00,,0.00,1.00,,0.00
PF09631,1.00,,0.00,1.00,,0.00
PF09637,1.00,,0.00,1.00,,0.00
PF09649,1.00,,0.00,1.00,,0.00
PF09666,1.00,,0.00,1.00,,0.00
PF09667,1.00,,0.00,0.50,,0.50
PF09668,0.61,1.99,0.05,0.59,2.01,0.09
PF09696,1.00,,0.00,1.00,,0.00
PF09724,1.00,,0.00,1.00,,0.00
PF09725,1.00,,0.00,1.00,,0.00
PF09726,1.00,,0.00,1.00,,0.00
PF09727,0.57,1.9,0.12,0.48,1.91,0.25
PF09728,0.83,3.58,0.00,0.82,3.58,0.00
PF09730,0.83,3.35,0.01,0.83,3.35,0.01
PF09731,1.00,,0.00,1.00,,0.00
PF09732,1.00,,0.00,1.00,,0.00
PF09733,1.00,,0.00,1.00,,0.00
PF09734,1.00,,0.00,1.00,,0.00
PF09735,0.80,3.22,0.00,0.80,3.23,0.01
PF09736,1.00,,0.00,1.00,,0.00
PF09737,1.00,,0.00,1.00,,0.00
PF09738,0.49,3.05,0.41,0.37,1.84,0.49
PF09739,1.00,,0.00,1.00,,0.00
PF09740,1.00,,0.00,1.00,,0.00
PF09741,1.00,,0.00,1.00,,0.00
PF09742,1.00,,0.00,1.00,,0.00
PF09743,1.00,,0.00,1.00,,0.00
PF09744,0.65,1.95,0.03,0.59,1.49,0.04
PF09745,1.00,,0.00,1.00,,0.00
PF09746,1.00,,0.00,0.50,,0.50
PF09747,1.00,,0.00,1.00,,0.00
PF09748,1.00,,0.00,1.00,,0.00
PF09749,1.00,,0.00,1.00,,0.00
PF09750,0.64,1.16,0.05,0.63,1.16,0.07
PF09751,1.00,,0.00,1.00,,0.00
PF09752,1.00,,0.00,1.00,,0.00
PF09753,1.00,,0.00,1.00,,0.00
PF09754,1.00,,0.00,1.00,,0.00
PF09755,1.00,,0.00,1.00,,0.00
PF09756,1.00,,0.00,1.00,,0.00
PF09758,1.00,,0.00,1.00,,0.00
PF09759,1.00,,0.00,1.00,,0.00
PF09762,1.00,,0.00,1.00,,0.00
PF09763,1.00,,0.00,1.00,,0.00
PF09764,1.00,,0.00,1.00,,0.00
PF09765,1.00,,0.00,1.00,,0.00
PF09766,1.00,,0.00,1.00,,0.00
PF09767,1.00,,0.00,1.00,,0.00
PF09768,1.00,,0.00,1.00,,0.00
PF09769,0.69,1.8,0.00,0.68,1.85,0.01
PF09770,0.59,1.43,0.24,0.59,1.48,0.24
PF09771,1.00,,0.00,1.00,,0.00
PF09772,1.00,,0.00,1.00,,0.00
PF09773,1.00,,0.00,1.00,,0.00
PF09774,1.00,,0.00,1.00,,0.00
PF09775,1.00,,0.00,1.00,,0.00
PF09776,1.00,,0.00,1.00,,0.00
PF09777,1.00,,0.00,1.00,,0.00
PF09778,1.00,,0.00,1.00,,0.00
PF09779,1.00,,0.00,1.00,,0.00
PF09781,1.00,,0.00,1.00,,0.00
PF09782,1.00,,0.00,1.00,,0.00
PF09783,1.00,,0.00,1.00,,0.00
PF09785,1.00,,0.00,1.00,,0.00
PF09786,1.00,,0.00,1.00,,0.00
PF09787,1.00,,0.00,1.00,,0.00
PF09788,0.77,3.09,0.02,0.77,3.26,0.03
PF09789,1.00,,0.00,1.00,,0.00
PF09790,1.00,,0.00,1.00,,0.00
PF09791,0.63,1.79,0.15,0.64,1.77,0.15
PF09793,1.00,,0.00,1.00,,0.00
PF09794,0.55,1.05,0.35,0.55,1.06,0.35
PF09797,1.00,,0.00,1.00,,0.00
PF09799,0.57,1.02,0.01,0.57,1.02,0.01
PF09801,1.00,,0.00,1.00,,0.00
PF09803,1.00,,0.00,1.00,,0.00
PF09804,1.00,,0.00,1.00,,0.00
PF09805,1.00,,0.00,1.00,,0.00
PF09806,0.92,4.47,0.02,0.89,4.46,0.05
PF09807,1.00,,0.00,1.00,,0.00
PF09808,1.00,,0.00,1.00,,0.00
PF09809,1.00,,0.00,1.00,,0.00
PF09810,0.50,,0.50,0.33,,0.67
PF09811,0.64,1.33,0.00,0.64,1.33,0.00
PF09812,1.00,,0.00,1.00,,0.00
PF09813,1.00,,0.00,1.00,,0.00
PF09814,1.00,,0.00,1.00,,0.00
PF09815,0.46,1.18,0.03,0.46,1.17,0.03
PF09816,0.86,3.87,0.01,0.88,4.14,0.01
PF09817,1.00,,0.00,1.00,,0.00
PF09848,0.95,5.29,0.04,0.80,4.71,0.17
PF09992,1.00,,0.00,1.00,,0.00
PF10018,1.00,,0.00,1.00,,0.00
PF10033,1.00,,0.00,1.00,,0.00
PF10034,0.48,2.07,0.25,0.48,2.08,0.25
PF10036,1.00,,0.00,1.00,,0.00
PF10037,0.55,0.84,0.27,0.55,0.74,0.27
PF10044,1.00,,0.00,1.00,,0.00
PF10046,1.00,,0.00,1.00,,0.00
PF10058,1.00,,0.00,1.00,,0.00
PF10075,0.45,0.11,0.05,0.45,0.09,0.04
PF10146,1.00,,0.00,0.50,,0.50
PF10147,1.00,,0.00,1.00,,0.00
PF10148,1.00,4.99,0.00,1.00,5.0,0.00
PF10149,1.00,,0.00,1.00,,0.00
PF10151,1.00,,0.00,1.00,,0.00
PF10152,1.00,,0.00,1.00,,0.00
PF10155,1.00,,0.00,1.00,,0.00
PF10156,1.00,,0.00,1.00,,0.00
PF10157,1.00,,0.00,1.00,,0.00
PF10158,1.00,,0.00,1.00,,0.00
PF10159,1.00,,0.00,1.00,,0.00
PF10160,1.00,,0.00,1.00,,0.00
PF10161,1.00,,0.00,1.00,,0.00
PF10162,0.51,1.33,0.07,0.51,1.31,0.06
PF10163,1.00,,0.00,1.00,,0.00
PF10164,1.00,,0.00,1.00,,0.00
PF10165,0.72,2.64,0.09,0.72,2.57,0.09
PF10166,1.00,,0.00,1.00,,0.00
PF10167,1.00,,0.00,1.00,,0.00
PF10168,1.00,,0.00,1.00,,0.00
PF10169,1.00,,0.00,1.00,,0.00
PF10170,1.00,,0.00,1.00,,0.00
PF10171,1.00,,0.00,1.00,,0.00
PF10172,1.00,,0.00,1.00,,0.00
PF10174,0.74,3.77,0.18,0.44,3.48,0.48
PF10175,1.00,,0.00,1.00,,0.00
PF10176,0.50,,0.50,1.00,,0.00
PF10177,0.60,2.17,0.09,0.61,2.05,0.07
PF10178,1.00,,0.00,1.00,,0.00
PF10179,1.00,,0.00,1.00,,0.00
PF10181,1.00,,0.00,1.00,,0.00
PF10183,1.00,,0.00,1.00,,0.00
PF10184,1.00,,0.00,1.00,,0.00
PF10185,1.00,,0.00,1.00,,0.00
PF10186,0.56,0.24,0.15,0.57,0.29,0.12
PF10187,1.00,,0.00,1.00,,0.00
PF10188,1.00,,0.00,1.00,,0.00
PF10189,1.00,,0.00,1.00,,0.00
PF10190,0.76,2.69,0.00,0.76,2.7,0.00
PF10191,1.00,,0.00,1.00,,0.00
PF10192,0.60,0.59,0.01,0.62,0.67,0.01
PF10193,1.00,,0.00,1.00,,0.00
PF10195,0.74,2.35,0.03,0.74,2.35,0.03
PF10197,0.59,1.47,0.00,0.59,1.47,0.00
PF10198,1.00,,0.00,1.00,,0.00
PF10199,1.00,,0.00,1.00,,0.00
PF10200,1.00,,0.00,1.00,,0.00
PF10203,1.00,,0.00,1.00,,0.00
PF10204,0.80,3.13,0.00,0.80,3.14,0.00
PF10205,1.00,,0.00,1.00,,0.00
PF10206,1.00,,0.00,1.00,,0.00
PF10208,0.81,3.6,0.00,0.81,3.6,0.00
PF10209,1.00,,0.00,1.00,,0.00
PF10210,1.00,,0.00,1.00,,0.00
PF10211,0.59,0.92,0.15,0.59,1.11,0.14
PF10212,1.00,,0.00,1.00,,0.00
PF10213,1.00,,0.00,1.00,,0.00
PF10215,1.00,,0.00,1.00,,0.00
PF10217,1.00,,0.00,1.00,,0.00
PF10218,1.00,,0.00,1.00,,0.00
PF10220,1.00,,0.00,1.00,,0.00
PF10221,1.00,,0.00,1.00,,0.00
PF10222,1.00,,0.00,1.00,,0.00
PF10223,0.60,1.44,0.03,0.60,1.42,0.02
PF10224,1.00,,0.00,1.00,,0.00
PF10225,0.70,2.22,0.02,0.70,2.19,0.02
PF10226,0.74,2.79,0.01,0.74,2.79,0.01
PF10228,0.94,4.64,0.00,0.94,4.61,0.00
PF10229,1.00,,0.00,1.00,,0.00
PF10230,1.00,,0.00,1.00,,0.00
PF10231,1.00,,0.00,1.00,,0.00
PF10232,1.00,,0.00,1.00,,0.00
PF10233,1.00,,0.00,1.00,,0.00
PF10234,1.00,,0.00,1.00,,0.00
PF10235,1.00,,0.00,1.00,,0.00
PF10236,1.00,,0.00,1.00,,0.00
PF10237,0.58,0.64,0.08,0.58,0.62,0.06
PF10238,1.00,,0.00,1.00,,0.00
PF10239,0.67,2.32,0.02,0.67,2.32,0.02
PF10240,0.63,1.85,0.11,0.65,1.49,0.03
PF10241,1.00,,0.00,1.00,,0.00
PF10242,0.56,1.98,0.02,0.56,1.98,0.02
PF10243,1.00,,0.00,1.00,,0.00
PF10244,1.00,,0.00,1.00,,0.00
PF10245,1.00,,0.00,1.00,,0.00
PF10246,1.00,,0.00,1.00,,0.00
PF10247,1.00,,0.00,1.00,,0.00
PF10248,0.72,2.22,0.01,0.72,2.23,0.01
PF10249,1.00,,0.00,1.00,,0.00
PF10250,0.59,0.98,0.16,0.61,0.95,0.10
PF10251,1.00,,0.00,1.00,,0.00
PF10252,1.00,,0.00,1.00,,0.00
PF10253,1.00,,0.00,1.00,,0.00
PF10254,0.80,3.34,0.01,0.80,3.34,0.01
PF10255,1.00,,0.00,1.00,,0.00
PF10256,0.54,2.03,0.13,0.54,1.97,0.11
PF10257,0.56,1.67,0.06,0.56,1.66,0.06
PF10258,1.00,,0.00,1.00,,0.00
PF10259,1.00,,0.00,1.00,,0.00
PF10261,1.00,,0.00,1.00,,0.00
PF10262,0.49,,0.06,0.49,,0.05
PF10263,1.00,,0.00,1.00,,0.00
PF10264,0.81,3.25,0.00,0.81,3.25,0.00
PF10265,0.70,2.08,0.02,0.70,2.07,0.02
PF10266,1.00,,0.00,1.00,,0.00
PF10267,0.52,2.47,0.28,0.52,2.44,0.27
PF10268,0.74,2.62,0.01,0.74,2.62,0.01
PF10269,0.66,3.11,0.20,0.66,3.07,0.19
PF10270,1.00,,0.00,1.00,,0.00
PF10271,0.78,3.08,0.00,0.78,3.0,0.00
PF10272,1.00,,0.00,1.00,,0.00
PF10273,1.00,,0.00,1.00,,0.00
PF10274,0.42,1.2,0.36,0.42,1.08,0.36
PF10275,0.73,2.6,0.01,0.73,2.59,0.01
PF10276,1.00,,0.00,1.00,,0.00
PF10277,0.45,0.87,0.05,0.44,0.87,0.05
PF10278,1.00,,0.00,1.00,,0.00
PF10280,1.00,,0.00,1.00,,0.00
PF10283,0.73,2.96,0.04,0.73,2.76,0.02
PF10288,1.00,,0.00,1.00,,0.00
PF10291,0.74,2.95,0.00,0.74,2.94,0.00
PF10294,0.43,1.41,0.15,0.43,1.35,0.14
PF10300,0.45,1.83,0.28,0.45,1.82,0.29
PF10304,1.00,,0.00,1.00,,0.00
PF10309,1.00,,0.00,1.00,,0.00
PF10312,1.00,,0.00,1.00,,0.00
PF10341,1.00,,0.00,1.00,,0.00
PF10345,1.00,,0.00,1.00,,0.00
PF10350,1.00,,0.00,1.00,,0.00
PF10354,1.00,,0.00,1.00,,0.00
PF10357,1.00,,0.00,1.00,,0.00
PF10358,0.77,3.16,0.02,0.79,3.34,0.01
PF10363,1.00,,0.00,1.00,,0.00
PF10366,0.65,1.08,0.02,0.65,1.08,0.02
PF10367,0.66,2.11,0.00,0.62,1.14,0.00
PF10373,0.47,0.7,0.15,0.38,0.75,0.30
PF10374,0.51,1.29,0.13,0.50,1.19,0.14
PF10376,1.00,,0.00,1.00,,0.00
PF10377,1.00,,0.00,1.00,,0.00
PF10382,1.00,,0.00,1.00,,0.00
PF10384,1.00,,0.00,1.00,,0.00
PF10390,0.57,2.43,0.22,0.57,2.49,0.22
PF10391,0.61,2.28,0.04,0.60,2.27,0.05
PF10392,1.00,,0.00,1.00,,0.00
PF10393,0.55,1.76,0.06,0.55,1.69,0.05
PF10394,1.00,,0.00,1.00,,0.00
PF10396,1.00,,0.00,1.00,,0.00
PF10397,1.00,,0.00,1.00,,0.00
PF10401,0.52,1.44,0.04,0.52,1.44,0.04
PF10403,1.00,,0.00,1.00,,0.00
PF10404,1.00,,0.00,1.00,,0.00
PF10405,1.00,,0.00,1.00,,0.00
PF10406,1.00,,0.00,1.00,,0.00
PF10408,0.61,1.02,0.03,0.61,1.01,0.02
PF10409,0.43,1.23,0.13,0.42,1.18,0.14
PF10413,1.00,,0.00,1.00,,0.00
PF10415,1.00,,0.00,1.00,,0.00
PF10417,0.61,2.98,0.16,0.63,2.78,0.12
PF10419,1.00,,0.00,1.00,,0.00
PF10420,1.00,,0.00,1.00,,0.00
PF10421,0.65,2.76,0.02,0.65,2.71,0.02
PF10426,1.00,,0.00,1.00,,0.00
PF10427,0.61,2.25,0.10,0.58,2.2,0.15
PF10430,1.00,,0.00,1.00,,0.00
PF10431,0.54,0.13,0.11,0.54,0.07,0.08
PF10433,0.49,0.58,0.05,0.51,0.8,0.06
PF10436,0.68,2.7,0.04,0.69,2.65,0.03
PF10441,1.00,,0.00,1.00,,0.00
PF10442,1.00,,0.00,1.00,,0.00
PF10444,1.00,,0.00,1.00,,0.00
PF10447,1.00,,0.00,1.00,,0.00
PF10453,1.00,,0.00,1.00,,0.00
PF10456,0.60,2.28,0.12,0.60,2.29,0.12
PF10457,0.85,3.73,0.00,0.85,3.73,0.00
PF10461,1.00,,0.00,1.00,,0.00
PF10469,0.47,0.59,0.13,0.47,0.58,0.13
PF10470,0.75,3.71,0.14,0.75,3.61,0.13
PF10471,1.00,,0.00,1.00,,0.00
PF10472,1.00,,0.00,1.00,,0.00
PF10473,0.61,1.3,0.00,0.61,1.3,0.00
PF10474,1.00,,0.00,1.00,,0.00
PF10475,0.54,0.36,0.26,0.55,0.39,0.24
PF10476,1.00,,0.00,1.00,,0.00
PF10477,1.00,,0.00,1.00,,0.00
PF10480,1.00,,0.00,1.00,,0.00
PF10481,1.00,,0.00,1.00,,0.00
PF10482,0.79,2.86,0.00,0.79,2.86,0.00
PF10483,0.50,,0.50,0.50,,0.50
PF10484,1.00,,0.00,1.00,,0.00
PF10486,0.29,1.08,0.59,0.30,1.01,0.58
PF10487,1.00,,0.00,1.00,,0.00
PF10488,0.56,2.14,0.36,0.55,2.09,0.39
PF10490,1.00,,0.00,1.00,,0.00
PF10491,1.00,,0.00,1.00,,0.00
PF10493,1.00,,0.00,0.54,0.14,0.22
PF10495,0.81,3.13,0.01,0.79,3.03,0.02
PF10496,1.00,,0.00,1.00,,0.00
PF10497,0.88,4.73,0.02,0.88,4.69,0.00
PF10498,1.00,,0.00,1.00,,0.00
PF10500,1.00,,0.00,1.00,,0.00
PF10501,1.00,,0.00,1.00,,0.00
PF10502,0.34,1.95,0.52,0.33,1.83,0.53
PF10504,1.00,,0.00,1.00,,0.00
PF10505,1.00,,0.00,1.00,,0.00
PF10506,0.56,0.94,0.03,0.56,0.94,0.03
PF10507,1.00,,0.00,1.00,,0.00
PF10508,1.00,,0.00,1.00,,0.00
PF10509,0.73,2.3,0.02,0.74,2.37,0.00
PF10510,1.00,,0.00,1.00,,0.00
PF10511,1.00,,0.00,0.71,1.82,0.00
PF10512,1.00,,0.00,1.00,,0.00
PF10513,0.38,1.28,0.28,0.36,1.17,0.28
PF10514,1.00,,0.00,1.00,,0.00
PF10515,0.79,3.59,0.01,0.79,3.59,0.01
PF10516,1.00,,0.00,1.00,,0.00
PF10521,1.00,,0.00,1.00,,0.00
PF10522,0.54,0.76,0.02,0.54,0.76,0.02
PF10523,0.37,0.74,0.12,0.38,0.73,0.11
PF10524,0.99,5.43,0.00,0.99,5.42,0.00
PF10525,0.85,3.62,0.02,0.85,3.58,0.00
PF10529,0.67,3.36,0.01,0.72,3.44,0.00
PF10534,0.74,2.81,0.03,0.74,2.81,0.03
PF10537,0.63,1.05,0.02,0.63,1.05,0.02
PF10541,0.72,2.66,0.06,0.71,2.53,0.05
PF10557,0.65,2.42,0.03,0.65,2.39,0.02
PF10558,0.50,,0.50,0.50,,0.50
PF10559,1.00,5.4,0.00,1.00,5.4,0.00
PF10561,1.00,,0.00,1.00,,0.00
PF10565,0.46,1.64,0.32,0.45,1.66,0.34
PF10568,0.64,1.82,0.01,0.64,1.82,0.02
PF10570,1.00,,0.00,1.00,,0.00
PF10571,1.00,,0.00,1.00,,0.00
PF10572,1.00,,0.00,1.00,,0.00
PF10573,1.00,,0.00,1.00,,0.00
PF10574,1.00,,0.00,1.00,,0.00
PF10577,0.63,1.98,0.01,0.44,1.63,0.30
PF10579,1.00,,0.00,1.00,,0.00
PF10580,1.00,,0.00,1.00,,0.00
PF10581,0.96,4.89,0.00,0.90,4.81,0.04
PF10583,1.00,,0.00,1.00,,0.00
PF10584,0.73,3.39,0.00,0.73,3.39,0.00
PF10585,0.61,1.84,0.04,0.61,1.85,0.04
PF10587,0.86,3.57,0.00,0.86,3.57,0.00
PF10588,1.00,,0.00,1.00,,0.00
PF10589,1.00,,0.00,1.00,,0.00
PF10590,1.00,,0.00,1.00,,0.00
PF10591,0.47,1.79,0.14,0.47,1.71,0.13
PF10595,0.64,1.18,0.05,0.64,1.16,0.05
PF10596,1.00,,0.00,1.00,,0.00
PF10597,1.00,,0.00,1.00,,0.00
PF10598,1.00,,0.00,1.00,,0.00
PF10599,1.00,,0.00,1.00,,0.00
PF10600,0.65,2.57,0.02,0.64,2.64,0.04
PF10601,0.65,2.39,0.00,0.64,2.37,0.01
PF10602,0.60,0.58,0.00,0.60,0.58,0.00
PF10606,0.84,3.55,0.00,0.84,3.55,0.00
PF10607,0.35,1.02,0.30,0.48,0.99,0.04
PF10608,0.59,3.75,0.31,0.64,3.7,0.24
PF10609,0.69,2.38,0.00,0.69,2.38,0.00
PF10613,0.57,2.79,0.12,0.57,2.71,0.09
PF10630,0.66,2.39,0.04,0.66,2.38,0.03
PF10631,1.00,,0.00,1.00,,0.00
PF10637,1.00,,0.00,1.00,,0.00
PF10639,1.00,,0.00,1.00,,0.00
PF10642,1.00,,0.00,1.00,,0.00
PF10644,1.00,,0.00,1.00,,0.00
PF10650,1.00,,0.00,1.00,,0.00
PF10660,0.57,1.48,0.27,0.57,1.43,0.27
PF10744,1.00,,0.00,1.00,,0.00
PF10780,1.00,,0.00,1.00,,0.00
PF10856,1.00,,0.00,1.00,,0.00
PF10873,1.00,,0.00,1.00,,0.00
PF10961,1.00,,0.00,1.00,,0.00
PF10996,0.56,1.29,0.03,0.54,1.55,0.12
PF11002,0.84,3.77,0.00,0.84,3.77,0.00
PF11027,1.00,,0.00,1.00,,0.00
PF11028,1.00,,0.00,1.00,,0.00
PF11029,1.00,,0.00,1.00,,0.00
PF11032,1.00,,0.00,1.00,,0.00
PF11035,1.00,,0.00,1.00,,0.00
PF11037,1.00,,0.00,1.00,,0.00
PF11057,0.52,2.4,0.19,0.52,2.21,0.17
PF11069,1.00,,0.00,1.00,,0.00
PF11092,1.00,,0.00,1.00,,0.00
PF11095,1.00,,0.00,1.00,,0.00
PF11107,1.00,,0.00,1.00,,0.00
PF11109,1.00,,0.00,1.00,,0.00
PF11111,1.00,,0.00,1.00,,0.00
PF11176,1.00,,0.00,1.00,,0.00
PF11221,1.00,,0.00,1.00,,0.00
PF11229,1.00,,0.00,1.00,,0.00
PF11232,0.86,3.91,0.00,0.86,3.92,0.00
PF11235,1.00,,0.00,1.00,,0.00
PF11261,0.92,5.05,0.00,0.92,5.05,0.00
PF11262,1.00,,0.00,1.00,,0.00
PF11265,1.00,,0.00,1.00,,0.00
PF11277,1.00,,0.00,1.00,,0.00
PF11315,1.00,,0.00,1.00,,0.00
PF11326,1.00,,0.00,1.00,,0.00
PF11357,0.62,3.73,0.27,0.53,3.45,0.35
PF11365,0.65,1.05,0.01,0.65,1.07,0.02
PF11380,1.00,,0.00,1.00,,0.00
PF11409,1.00,,0.00,1.00,,0.00
PF11411,1.00,,0.00,1.00,,0.00
PF11413,0.71,3.02,0.09,0.71,2.89,0.07
PF11414,0.51,1.03,0.06,0.51,0.92,0.03
PF11416,1.00,,0.00,1.00,,0.00
PF11461,0.59,1.49,0.05,0.59,1.44,0.04
PF11464,0.75,2.46,0.04,0.76,2.49,0.01
PF11465,1.00,,0.00,1.00,,0.00
PF11466,1.00,,0.00,1.00,,0.00
PF11467,0.70,2.08,0.02,0.70,2.02,0.01
PF11470,1.00,,0.00,1.00,,0.00
PF11502,0.78,2.79,0.04,0.77,2.79,0.06
